Category,Headline,SubHeading,Link,isResult,isMaybe
Skydning,Danske skytter snydt for præmiepenge,Jesper Hansen og Rikke Mæng mangler at få penge fra den afgående præsident for Det Internationale Skytteforbund.,https://sport.tv2.dk/skydning/2022-12-21-danske-skytter-snydt-for-praemiepenge,False,
Skydning,Dansk riffelskytte vinder World Cup-guld,Rikke Mæng Ibsen vandt World Cuppen i 50 meter luftriffel efter to stærke præstationer fredag.,https://sport.tv2.dk/skydning/2022-06-03-dansk-riffelskytte-vinder-world-cup-guld,True,
OL,"Da jeg sad i flyet, tænkte jeg, det skal være løgn, siger dansk sølvvinder","Jesper Hansen er meget stolt over sin OL-sølvmedalje i skeetskydning, som for ham også er en revanche for et skuffende OL i Rio fem år forinden.",https://sport.tv2.dk/skydning/2021-07-26-da-jeg-sad-i-flyet-taenkte-jeg-det-skal-vaere-loegn-siger-dansk-soelvvinder,True,
OL,"- Det var en fantastisk finale, siger Jesper Hansen","Formanden i Dansk Skytte Union storroser Jesper Hansen, der mandag sikrede Danmark den første medalje ved OL i Tokyo.",https://sport.tv2.dk/skydning/2021-07-26-det-var-en-fantastisk-finale-siger-jesper-hansen,True,
OL,Skeetskytte sikrer OL-sølv til Danmark,Jesper Hansen skød sig længere og længere frem i OL-finalen og endte med at snuppe en sølvmedalje.,https://sport.tv2.dk/skydning/2021-07-26-skeetskytte-sikrer-ol-soelv-til-danmark,True,
Skydning,Dansker triumferer med guld og sølv ved EM,"Steffen Olsen var tæt på at hente to gange guld ved EM i skydning, men en tangeret verdensrekord kom i vejen.",https://sport.tv2.dk/skydning/2021-06-03-dansker-triumferer-med-guld-og-soelv-ved-em,True,
Skydning,Riffelskytte sikrer Danmark endnu en OL-plads,Anna Skade Nielsen blev nummer syv ved et World Cup-stævne i Beijing og sikrede en OL-kvoteplads til Danmark.,https://sport.tv2.dk/skydning/2019-04-23-riffelskytte-sikrer-danmark-endnu-en-ol-plads,True,
Skydning,Dansker sikrer dansk OL-kvoteplads i skeetskydning,38-årige Jesper Hansen skød sig til World Cup-sølv mandag og sikrede Danmark en OL-kvoteplads i skeetskydning.,https://sport.tv2.dk/skydning/2019-04-15-dansker-sikrer-dansk-ol-kvoteplads-i-skeetskydning,True,
Skydning,Politisk konflikt koster OL-pladser ved World Cup,Manglende visum til pakistanske skytter ved World Cuppen i New Delhi har fået IOC til at skride ind.,https://sport.tv2.dk/skydning/2019-02-22-politisk-konflikt-koster-ol-pladser-ved-world-cup,False,
Skydning,Dansk skytte vinder guld ved ungdoms-OL,Stephanie Laura Scurrah Grundsøe vandt guld i 10 meter luftriffel ved ungdoms-OL i Buenos Aires.,https://sport.tv2.dk/skydning/2018-10-08-dansk-skytte-vinder-guld-ved-ungdoms-ol,True,
Skydning,Riffelskytter skyder mere VM-sølv hjem til Danmark,"Stine Nielsen, Rikke Mæng og Stephanie Grundsøe viste endnu en gang, at de er blandt verdens bedste skytter.",https://sport.tv2.dk/skydning/2018-09-07-riffelskytter-skyder-mere-vm-soelv-hjem-til-danmark,True,
