Category,Headline,SubHeading,Link,isResult,isMaybe
Badminton,Verdens bedste elsker Danmark - men joker med én ting,Tidligere på året vandt de VM - også i Danmark,,True,
Badminton,Besynderlig udvikling i Denmark Open-finale,Finaledagen var uden dansk deltagelse,,False,x
Badminton,Astrups SMS-dagbog: En øl på højkant og en lille nyhed,Den danske doublespiller Kim Astrup skriver dagligt sammen med TV 2 Sports kommentator Dennis Bostrup under Denmark Open,,False,
Badminton,Ekspert jubler: - Ikke mange har gjort det på det her plan,Efter All England i 2022 var Joachim Fischer bekymret. Nu ser han lysere på fremtiden,,False,
Badminton,Stjerner i ophedet diskussion: - Man skal vise respekt,Det gik ikke stille for sig under den ene semifinale i damesingle,,False,
Badminton,Astrup og Skaarup misser finale - imponerende stime er slut,Den danske duo nåede 13 sejre i træk,,True,x
Badminton,Peptalk lagde ekspert ned i latter,Den danske herredouble klarede skærene fredag,,True,
Badminton,Frustreret Christiansen oplevede kæmpe usikkerhed,Semifinalerne ved Denmark Open blev endestationen for det danske par,,True,
Badminton,Stort comeback udeblev for Christiansen og Bøje,Det danske par mødte overmagten lørdag eftermiddag,,True,
Badminton,Her er programmet for de danske semifinaler,Der er to danske doubler tilbage i turneringen,,False,x
Badminton,Christiansen og Bøje ser frem til stor opgave,Der venter den danske mixeddouble en svær opgave i semifinalen,,False,x
Badminton,Træner snyder under duel: - Dybt usympatisk,Kei Nakashimas ageren under en duel blev ikke taget pænt imod,,False,
Badminton,Robotter rykker ind til de afgørende kampe ved Denmark Open,Nu skal spillerne ikke længere bære tasker eller hente friske bolde,,False,
Badminton,Ærgrer sig over danske fans: - Det er unødvendigt,Det danske publikum og Hong Wei Ye havde noget kørende,,False,
Badminton,Astrup og Skaarup forlænger utrolig stime med ny sejr,Der bliver dansk deltagelse ved flere semifinaler i Super 750-turneringen,,True,
Badminton,Bøje og Christiansen klar til stor semifinale,Verdensranglistens nummer tre venter de to danskere lørdag,,True,x
Badminton,Fejl resulterede i ulovlig reklame af kontroversielt bettingfirma,Et forkert tv-signal blev sendt ud i de danske stuer,,False,
Badminton,Kineser ignorerede sin makker: - Jeg har sjældent set noget lignende ,Den kinesiske mixeddouble måtte se sig slået af Bøje og Christiansen,,True,
Badminton,"Bag usædvanlig dansk succes står en mand, som flere fremhæver",Thomas Stavngaard overtog ansvaret for herredoublerne i januar,,False,
Badminton,Gemke sikrer tre kvartfinaler med dansk deltagelse,I artiklen kan du også få video fra kampene,,True,
Badminton,Sønnen gider ikke se far spille - så lavede han denne jubelscene,Referencen i fejringen skal findes i et spil Klodsmajor,,False,
Badminton,"- Jeg er enormt utilfreds med kampen, siger Antonsen efter exit",Den danske herresingle fik kun to kampe ved Denmark Open i Odense,,True,
Badminton,Antonsen ryger ud af Denmark Open,Den danske herresingle tabte i to sæt,,True,
Badminton,Axelsen trækker sig med skade,Den danske stjerne kommer ikke i kamp i anden runde,,False,
Badminton,Landstræner har det ambivalent med tidligt danskerbrag,Magnus Johannesen og Viktor Axelsen mødes i første runde ved Denmark Open,,False,
Badminton,Ung Axelsen tog på træningslejr i Kina - pludselig kunne holdkammerat ikke slå ham,Den danske stjerne vandt ungdoms-VM i 2010,,False,
Badminton,Dansk par leverer stor overraskelse,Rasmus Kjær og Frederik Søgaard leverede en kanon præstation,,True,x
Badminton,Antonsen var i tvivl til det sidste: - Jeg tog en lille chance,Herresinglespilleren trænede i København tirsdag morgen,,False,
Badminton,Antonsen spiller sig videre ved Denmark Open,Den danske stjerne var ellers i store problemer i første sæt,,True,
Badminton,Topspillere trækker sig på stribe - ekspert har en teori,En sammenpresset turneringsprogram kan få spillerne til at tænke kynisk,,False,
Badminton,Verdensettere trækker sig - giver dansk fordel,"Kim Astrup og Anders Skaarup får en nemmere vej, hvis de skal nå langt",,False,
Badminton,"Ekspert udpeger de opgør, du ikke må misse",Første runde byder på flere opgør mellem to danskere,,False,
Badminton,Danske stjerners succes skyldes blandt andet ændringer i privatlivet,"Den danske herredouble spiller igen på hjemmebane, når Denmark Open afvikles",,False,
Badminton,"- Det er næsten surrealistisk, siger Skaarup",Kim Astrup og Anders Skaarup vandt Arctic Open søndag,,True,
Badminton,Astrup og Skaarup vinder ny finale,Den danske herredouble fik den perfekte optakt til Denmark Open,,True,
Badminton,Astrup og Skaarup spiller sig i ny finale,Kim Astrup og Anders Skaarup Rasmussen slog tidligere verdensmestre og er finaleklar i finske Arctic Open,,True,
Badminton,Antonsen trækker sig og misser finale,Anders Antonsen trak sig i andet sæt i Arctic Open-semifinale - bare tre dage før starten på Denmark Open,,False,x
Badminton,Antonsen klar til semifinalen,"Anders Antonsen viste både topklasse og ukoncentreret spil, da han fredag vandt kvartfinalen. Astrup og Skaarup er også videre",,True,
Badminton,Dansker åbnede skræmmende besked: - Først er man lidt i chok,Brugeren bag beskeden er meldt til politiet,,False,
Badminton,Dansk herredouble klar til semifinale efter stor overraskelse,Verdens nummer 29 slog verdens nummer 9,,True,
Badminton,Astrup og Skaarup klar til kvartfinale på stor dansk dag,De to danskere bygger videre på stimen af sejre,,True,
Badminton,Profil stopper på landsholdet,Lasse Mølhede siger farvel til landsholdet og internationale badmintonturneringer,,False,
Badminton,To rene danske opgør i Denmark Open,"Viktor Axelsen er én af de danskere, der skal i kamp mod en landsmand i første runde",,False,
Badminton,26-årig landsholdsspiller stopper karrieren øjeblikkeligt,VM i Royal Arena blev Jeppe Bays sidste internationale badmintonturnering,,False,
Badminton,Ekspert har advaret i månedsvis - nu kom første alvorlige skade,Ekspert kommer med opråb og beder det internationale badmintonforbund om at tage affære,,False,
