Category,Headline,SubHeading,Link,isResult,isMaybe
Bueskydning,Danske bueskytter tager sølv ved European Games,Dansk compound-duo tabte en tæt European Games-finale til Estland efter omskydning,,True,
Bueskydning,Danmark sætter verdensrekord i bueskydning,Med en verdensrekord gik Mathias Fullerton og Tanja Gellenthien videre til kvartfinalen i mixed team compound,,True,
Bueskydning,Team Danmark stopper støtten til bueskytter,Bueskydning Danmark mister årlig støtte på 800.000 kroner fra Team Danmark på grund af svigtende resultater,,True,
Bueskydning,Maja Jager pakker pilene sammen,Bueskytten Maja Jager vil nu satse på en civil karriere. Hun blev verdensmester i 2013 og deltog ved to OL,,False,
Bueskydning,Danske bueskytter misser sidste OL-billet,"Damelandsholdet i recurve fik ikke en OL-billet, da den sidste kvalifikationsturnering blev afholdt",,True,
Bueskydning,Første danske OL-billet uddelt,"Den tidligere verdensmester Maja Jager er nu officielt klar til OL, oplyser Danmarks Idrætsforbund (DIF)",,False,x
Bueskydning,Maja Jager taber tæt dyst ved European Games,Maja Jager er ude af recurve individuelt efter knebent nederlag til russer i ottendedelsfinale,,True,
Bueskydning,Maja Jager skyder sig nærmere finalen i European Games,"Alicia Marín kunne ikke hamle op med den danske bueskytte Maja Jager, som er klar til ottendedelsfinalen",,True,
Bueskydning,Bueskytte om dramatisk bronze: Tænkte en ekstra tanke,"Hovedet skulle holdes koldt, da bueskyttebronze gik til Danmark efter shoot off ved European Games",,True,
Bueskydning,Danske bueskytter snupper bronze ved European Games,"Randi Degn, Anne Marie Laursen og Maja Jager sørgede for den første danske medalje i bueskydning i Minsk",,True,
Bueskydning,Danske bueskytter skal skyde om bronze ved European Games,"De danske recurvekvinder vandt kvartfinalen 5-4 over Rusland, men tabte semifinalen til Storbritannien 0-6",,True,
Bueskydning,Jager tror på succes i Minsk trods beskedent udlæg,"Maja Jager blev nummer 20, da de danske bueskytter kæmpede om seedninger ved European Games i Minsk",,True,
Bueskydning,Dansk verdensmester sikrer OL-plads i bueskydning,Maja Jager skød fredag Danmark til en plads i bueskydning ved OL i Tokyo i 2020,,True,
Bueskydning,Dansk trio vinder World Cup-guld i bueskydning,"Stephan Hansen, Martin Damsbo og Mads Knudsen vandt guld ved årets tredje World Cup-afdeling i bueskydning",,True,
Bueskydning,Danske bueskytter skyder sig til sølv og bronze ved EM,Bueskytterne Maja Jager og Tanja Jensen fik henholdsvis sølv og bronze ud af anstrengelserne lørdag ved EM,,True,
Bueskydning,Maja Jager sikrer EM-medalje,"Recurve-bueskytten Maja Jager står foran at udvide sin medaljesamling, da hun er klar til EM-finalen i Polen",,True,
Bueskydning,Bueskytten Stephan Hansen tager World Cup-guld i USA,"VM-sølvvinderen fra Danmark var klart bedst i finalen i USA, der blev afviklet under svære vindforhold",,True,
Bueskydning,Hansen må nøjes med sølv ved VM i bueskydning,Finalen ved VM i Mexico måtte afgøres i shoot off. Her var franskmanden Sebastian Peineau tættest på midten,,True,
Bueskydning,Fire danskere er videre ved VM i bueskydning,"Stephan Hansen er i Mexico, hvor han skal forsvare sit VM-guld fra hjemmebanesejren i Danmark sidste år",,True,
Bueskydning,Danske bueskytter vinder World Cup-guld igen,For tredje år i træk sejrede danske bueskytter i Mix-disciplinen ved World Cup-finalen,,True,
Bueskydning,Bueskytter sikrer dansk medaljeregn i World Cup,"Danmark hentede fem medaljer ved World Cup-stævnet i Berlin, inden finalen foregår i Rom til september",,True,
Bueskydning,Suveræn dansk bueskytte vinder World Cup-guld,"Stephan Hansen var helt suveræn i finalen, da compoundskytten lørdag vandt guld i Shanghai",,True,
Bueskydning,Dansk verdensmester tæt på World Cup-sejr,Stephan Hansen missede på sidste pil chancen for indendørs World Cup-sejr i Los Angeles,,True,
Bueskydning,Dansk bueskytte vinder World Cup-finale i Las Vegas,"For andet år i træk blev det til dansk triumf i World Cup-finalen, da Tanja Jensen vandt guld i compound",,True,
Bueskydning,Danske verdensmestre vinder World Cup-guld i Shanghai,De danske verdensmestre i compound vandt sæsonens første World Cup-stævne med finalesejr over Rusland,,True,
Bueskydning,Danske bueskytter skal vise OL-form i Shanghai,"Årets første World Cup i bueskydning står for døren, og de danske recurve-kvinder skal teste OL-formen",,False,
Bueskydning,Danmark får World Cup-finaler i bueskydning,Odense bliver i september vært for World Cup-finalerne i bueskydning,,False,
Bueskydning,Guld og sølv til danske bueskytter ved compound-VM,Danmarks kvindelige bueskytter triumferede i VM-finalen i compound. Herrerne måtte nøjes med sølv,,True,
Bueskydning,Danmarks bedste bueskytter er klar til dobbelt guldjagt ved VM,Både de danske herrer og damer skød sig fredag i holdfinalen ved indendørs-VM i bueskydning,,True,
Bueskydning,Dansk bueskytte sikrer World Cup-sejr i Las Vegas,Sarah Holst Sönnichsen vandt World Cup-finalen i Las Vegas med sejr over franskmand i finalen,,True,
Bueskydning,Dansk verdensmester scorer international hæderspris,"Stephan Hansen, der vandt to VM-titler i 2015, er blevet kåret som årets bueskytte i verden",,True,
Bueskydning,Danmark snupper fire medaljer i bueskydning,Danmark vandt i alt fire medaljer ved årets første indendørs World Cup-stævne i bueskydning. ,,True,
Bueskydning,Dansk verdensmester ender uden for podiet i Colombia,"Bueskytten Stephan Hansen endte som nummer fire ved World Cup-stævnet i Colombia, men kravlede op som nummer tre på verdensranglisten",,True,
Bueskydning,Danske bueskytter vinder guld ved World Cup-stævne,Det danske herrehold i bueskydningsdisciplinen compound viste søndag endnu engang international topklasse,,True,
Bueskydning,Værter i verdensklasse - derfor er Danmark i toppen,"Danmark er i absolut verdensklasse, når det handler om at være vært for globale sportsbegivenheder - senest demonstreret med sidste uges VM i bueskydning",,True,
Bueskydning,Dansk bueskydningschef om VM: Svært at drømme om mere ,Bueskydning Danmark kan med en enkelt dag tilbage af VM i København fælde dom over de danske bueskytters præstationer,,True,
Bueskydning,Ny verdensmester: Guld til Stephan Hansen,Bueskytten Stephan Hansen afsluttede lørdag et for ham personligt suverænt VM i København med guld i compound,,True,
Bueskydning,Dansk bueskytte: Jeg har en kæmpe fordel i VM-finalen ,Se VM i bueskydnig på TV 2 og TV 2 PLAY,,False,
Bueskydning,Sådan! Danske bueskytter tager VM-bronze ,Se VM i bueskydning på TV 2 SPORT og TV 2 PLAY ,,True,
Bueskydning,OL-værter roser VM i bueskydning i København,"Der var anerkendelse til de danske arrangører af VM i bueskydning, da de kommende OL-værter fra henholdsvis Rio de Janeiro og Tokyo besøgte VM i bueskydning, der foregår i øjeblikket i København",,False,
Bueskydning,Stor dansk finaledag: Realistisk med dansk guld,Den unge danske bueskytte Stephan Hansen har i eftermiddag chancen for at hænge en medalje om halsen af guld,,False,
Bueskydning,VM-medaljer i bueskydning skal afløse skidt dansk start,"VM i bueskydning i København har været i gang siden mandag, og en række danskere har været i aktion. Det har dog været en blandet fornøjelse",,True,
Bueskydning,Store klø til dansk skytte,Den danske deltagelse i de individuelle skydninger ved VM i bueskydning i København sluttede torsdag med store klø til den danske deltager Casper Lauridsen,,True,
Bueskydning,Dansk VM-triumf: Første medalje er sikret,Den første danske medalje ved VM i bueskydning i København er hjemme,,True,
