Category,Headline,SubHeading,Link,isResult,isMaybe
Kort sport,Kevin Magnussen udgår efter voldsomt uheld i mexicansk grand prix,Efter et lægetjek gik Kevin Magnussen selv tilbage til resten af sit hold.,,False,
Fransk fodbold,Fransk storkamp aflyst efter angreb på holdbus: Træner havde glasskår i ansigtet,Lyons trup blev angrebet med kasteskyts på vej mod udekampen i Marseille. ,,False,
Superliga,Vallys vilde hug sikrer Brøndby sejren: Se målet her,Brøndby-spilleren skruede bolden i kassen til tre point mod FC Nordsjælland.,,True,
Superliga,FC Nordsjælland nedlagt af drømmescoring: Se alle weekendens superligamål her,Her får du overblikket og højdepunkter fra weekendens kampe i 3F Superligaen.,,True,
Kort sport,Fodboldtilhængere angriber Lyons holdbus med sten,"Kampen mellem Marseille og Lyon var end ikke startet, før den havde fået en kedelig optakt.",,False,
Kort sport,De danske ishockeymestre fra Aalborg knuser Odense,"Der er ingen over, ingen ved siden af og ingen i nærheden af Aalborg Pirates i dansk ishockey lige nu.",,True,
Kort sport,Brøndby IF spiller sig på andenpladsen efter drømmemål,"Nicolai Vallys kommer formentlig til at drømme søde drømme, når han lægger hovedet på puden i aften.",,True,
Kort sport,"Hollandsk ligakamp afbrudt, da angriber kollapsede på banen","Søndagens kamp mellem NEC Njimegen og AZ Alkmaar i den bedste hollandske fodboldrække blev afbrudt før tid, da Njimegen-spilleren Bas Dost pludselig faldt om på banen, da kampen var på vej i tillægstid.",,False,
Champions League,Odenses forvandlede forsvar blev 'meget afgørende' i historisk storsejr,Odense-profilerne Mie Højlund og Althea Reinhardt jubler over holdets defensive præstation i lørdagens Champions League-kamp.,,True,
Kort sport,Holger Runes banemand vinder schweizisk tennisturnering ,Den canadiske tennisspiller Felix Auger-Aliassime forsvarede søndag sin titel i ATP 500-turneringen i Basel.,,True,
Kort sport,Rasmus Højlund begår straffespark i Manchester United-nedtur,"Rasmus Højlund fik en uheldig rolle, da Manchester United i dag tabte 0-3 til Manchester City.",,True,
Kort sport,OB må nøjes med uafgjort efter underkendt mål i overtiden,OB lod sig ikke kyse af forskellen i tabellen på dem selv og Silkeborg IF.,,True,
Badminton,Dansk triumf i Frankrig: Astrup og Rasmussen vinder stor badmintonturnering,Den danske herredouble vandt finalen ved French Open over et indonesisk par.,,True,
Champions League,Odense slår rekord og går målamok mod tysk tophold,De danske vicemestre vandt med hele 13 mål over topholdet Bietigheim i Champions League. ,,True,
Kort sport,Keeperkoks koster Vejle dyrt,"Det lignede tre yderst tiltrængte point til Vejle Boldklub, men endte i stedet med en deler, 1-1, mod Viborg i søndagens superligakamp.",,True,
Kort sport,Super runde skyder Thorbjørn Olesen ind i top-10,Meget kan reddes med en god afslutning.,,True,
Motorsport,Nu skal to Christian'er køre i amerikanernes kongeklasse,Christian Rasmussen blev tidligere på ugen præsenteret hos Ed Carpenter Racing og får dermed indfriet sin drengedrøm om at køre Indycar.,,False,
Kort nyt,Amerikansk ishockeyspiller er død efter et voldsomt sammenstød på isen,Den amerikanske ishockeyspiller Adam Johnson mistede livet efter en voldsom kollision på isen i kampen mellem Sheffield Steelers og Nottingham Panthers i den engelske liga.,,False,
Badminton,'Uhyggelig' dansk superduo står igen i finalen,Badmintondoublen Kim Astrup og Anders Skaarup Rasmussen spiller søndag finale ved French Open. Det er parrets sjette finale siden juli.,,True,
Kort sport,Ehlers med uheldig rolle i Winnipeg-nederlag,"Natten til søndag kunne ishockeyklubberne Winnipeg Jets og Montreal Canadiens ikke nå til enighed om at finde en vinder i regulær eller forlænget spilletid, og derfor måtte de to NHL-klubber ved stillingen 3-3 ud i straffeslag for at afgøre opgøret.",,True,
Champions League,Ubesejret dansk duo vil fortsætte vild stime mod Odense Håndbold,"Sarah Nørklit Lønborg og Anne With Johansen spiller begge for tyske Bietigheim, der søndag møder Odense Håndbold i Champions League.  ",,False,
Kort sport,Kevin Magnussen starter som nummer 17 i mexicansk grand prix,"Rettelse: Tidligere fremgik det af artiklen, at Max Verstappen lå nummer to. Det er nu rettet, da han er nummer tre.",,True,
Kort sport,Sydafrika vinder VM-finalen i rugby efter tæt afslutning mod New Zealand,Sydafrika kan på ny kalde sig verdens bedste rugbynation.,,True,
Kort sport,Varm dansk duo spiller sig i ny badmintonfinale,Kim Astrup og Anders Skaarup Rasmussen er navnene på to af Danmarks varmeste badmintonspillere.,,True,
Superliga,Skidesjovt: Målmand gør grin med eget toiletbesøg,Hvidovres målmand Filip Djukic havde en toiletrulle med på banen som reference til en uheldig episode tidligere på sæsonen.,,False,
Superliga,"Der er fart på, når FCK sætter klubrekord efter blot 15 sekunder",Lukas Leragers lynmål mod Hvidovre var FCK's hurtigste scoring i klubbens historie.,,True,
Tennis,Holger Rune skuffer og taber til stærk canadier,Den danske tennisspiller tabte i to sæt til Félix Auger-Aliassime i schweizisk semifinale.,,True,
