Category,Headline,SubHeading,Link,isResult,isMaybe
E-sport,Astralis sælger rettigheder for 194 millioner kroner,Counter-Strike-holdet Astralis scorer et trecifret millionbeløb ved at sælge franchiserettigheder,,False,
E-sport,Astralis forlænger med 'dev1ce',"Nicolai ""dev1ce"" Reedtz har forlænget kontrakten med Astralis, så den løber tre år mere",,False,
E-sport,Danmarks bedste siger farvel til prominent kaptajn,Casper 'cadian' Møller er fortid på Heroic-holdet og leder nu efter sin nye rejse,,False,
E-sport,Dansk succestræner skifter til saudiarabisk organisation,"37-årige Danny 'zonic' Sørensen forlader verdensetterne og skifter til et hold, der rangerer som nummer 55 i verden",,False,
E-sport,Astralis er klar til nyt Counter-Strike - men der er også en stor risisko,"Onsdag blev Counter-Strike 2 udgivet, og alle hold vil nu løbe om kap for hurtigst at få greb om spillet",,False,
E-sport,Astralis misser stor finale,Danskerholdet kunne ikke følge op på fredagens sejr over Heroic,,True,
E-sport,"- Uanset hvad der sker, kan vi være stolte ","Astralis-profilen har store forhåbninger til semifinalen, hvor tyske G2 venter",,False,
E-sport,Astralis-stjerne er lykkelig - men sejren er ikke i centrum,"Den danske stjerne var selv flyvende i opgøret, hvor han også blev den spiller med næstflest kills. ",,True,
E-sport,Astralis overrasker - vinder stort danskerbrag ,"I lørdagens semifinale venter G2, der er nummer fire på verdensranglisten. Det tyske storhold har danske Rasmus 'HooXi' på holdet",,True,
E-sport,"- Det er gået over al forventning, siger Astralis-stjerne inden danskerbrag","Det er 195 dage siden, at de to danske storhold sidst stod over for hinanden, og meget er sket siden. ",,False,
E-sport,Astralis vinder brag - nu venter Heroic i kvartfinalen,"20-årige Christian 'Buzz' Andersen storspillede på den sidste bane, hvor Astralis dominerede NaVi det meste af vejen",,True,
E-sport,Dansk stjernes udbrud vækker opsigt,"Hændelsen skal dog tolkes som et tegn på respekt, mener ekspert",,False,
E-sport,Astralis henter sportsdirektør hos Heroic,Astralis har fredag præsenteret Kasper Hvidts afløser. ,,False,
E-sport,Astralis får bøde på 680.000 kroner,"Den danske organisation straffes for at have fået hjælp fra en person, der var knyttet til et andet hold",,False,
E-sport,Astralis sender klart signal med degradering,Der sker store ændringer på og omkring Astralis i disse dage. ,,False,
E-sport,Officielt: Verdens bedste hold skiller sig af med dansk stjerne,"Som TV 2 Sport erfarede mandag, har Peter 'dupreeh' Rasmussen ingen fremtid hos Vitality",,False,
E-sport,Astralis-stjerner ryger på bænken,To nye spillere erstatter to Astralis-ikoner,,False,
E-sport,"- Det var et spørgsmål om tid, siger ekspert om Hvidt-fyring",Jacob 'PIMP' Winneche er meget overrasket over fyringen af chefanalytiker Nikolaj 'Hunden' Petersen,,False,
E-sport,Astralis kapper båndet til Kasper Hvidt,Efter mere end seks år går Astralis og Kasper Hvidt hver til sit,,False,
E-sport,Dansk stjerne fortid på verdens bedste hold,"Peter 'dupreeh' Rasmussen skal snart se sig om efter nye udfordringer, erfarer TV 2 Sport",,False,
E-sport,Heroic genvinder stor turnering,Søndag vandt Heroic over Team Vitality i Blast-Finalen i Washington D.C. Begge har danskere på holdet,,True,
E-sport,Heroic klar til stor finale,"Brasilianske Imperial bed fra sig, men kunne ikke forhindre danskerne fra Heroic i at nå Blast-finalen i USA",,True,
