Category,Headline,SubHeading,Link,isResult,isMaybe
Fodbold,FCK brænder straffe i sidste sekund mod United,Efter runden ligger de danske mestre sidst i Champions Leagues gruppe A,,True,x
Fodbold,Bayern vinder i FCK's gruppe,"Galatasaray var bedst i en time, men effektive Bayern München hentede en 3-1-sejr i Istanbul",,True,
Fodbold,"- Han er den, der har allermest på spil, siger Bruun",Rasmus Højlund har fået sin fodboldopdragelse i FC København,,False,
Fodbold,Løber tør for rosende ord om dansk landsholdsspiller,Matt O'Riley er topscorer i den skotske liga med seks mål og får ros af flere eksperter,,False,
Fodbold,Falk og FCK var tæt på sensation mod United: Vi er bedre nu,"FCK var tæt på at skabe overraskelsen mod Manchester United i 2020, men står bedre nu, mener Rasmus Falk",,True,x
Fodbold,"Nu har Tottenham-træner gjort noget, ingen anden har ",Heung-Min Son og James Maddison scorede hjemmeholdets to mål mandag aften. ,,True,
Fodbold,Bayern forventer stor udfordring: - Det bliver ekstremt,"Galatasaray vil bruge sine højlydte fans som en fordel i mødet mod Bayern München, siger Thomas Tuchel",,False,
Fodbold,Tottenham er tilbage på førstepladsen,De har to point ned til de nærmeste forfølgere,,True,
Fodbold,FCK-profil har givet Højlunds lillebror klar besked,"Oscar Højlund skal ikke få nogen gode ideer inden kampen mod United, lyder opfordringen",,False,
Fodbold,"- Det rammer så hårdt, siger OB-keeper",Det spiller slet ikke for OB i øjeblikket,,True,
Fodbold,OB's krise på eget græs fortsætter,En sen FCM-scoring sænkede OB,,True,
Fodbold,Tre ting gjorde Sir Bobby Charlton ikonisk ifølge Bruun,"Sir Bobby Charlton minder os om en svunden tid, lyder det fra Morten Bruun i sin hyldest af den afdøde fodboldspiller",,False,
Fodbold,Ramos hyldet efter særlig kamp: - Han er fremragende ,"Opgøret endte 1-1, og det betyder, at Real Madrid fortsat fører LaLiga. Sevilla ligger nummer 13",,True,
Fodbold,Spanien nedsabler modstander,Spanierne viste styrke fra starten af opgøret,,True,
Fodbold,Det bliver svært at komme til EM,"Man tør næsten ikke tænke tanken til ende, vel? En EM-slutrunde i Tyskland uden Danmark. Men som sagerne står, er det blevet en vanskelig opgave",,False,
Fodbold,"Ny udvikling er alarmerende og bekymrende, siger Kjær",Kasper Hjulmand er opmærksom på den seneste udvikling i international topfodbold,,False,
Fodbold,Brøndby-træner efter CL-exit: - Vi er voldsomt skuffede,"Brøndbys Champions League-eventyr sluttede i første kamp, og cheftræner Per Nielsen er meget skuffet",,True,
Fodbold,Hjulmand skifter igen ud i truppen,Mohamed Daramy er tilbage på det danske landshold. ,,False,
Fodbold,Vallys' debut var ekstra speciel for Højbjerg,Pierre-Emile Højbjerg glæder sig ekstra meget på Nicolai Vallys' vegne. ,,False,
Fodbold,Kjær positivt overrasket over niveauet,"Landsholdsanføreren ønskede sig flere mål, men lod sig imponere over San Marinos forsvar",,False,
Fodbold,"- Det samme skete i sidste uge, så der må være en forbandelse ",Joakim Mæhle føler med Morten Hjulmand. ,,False,
Fodbold,Hjulmand skifter ud - kalder to spillere ind,Ifølge Kasper Hjulmand er der usikkerhed om enkelte danske spillere inden søndagens kamp i Finland. ,,False,
Fodbold,Ét spørgsmål fra Saudi-Arabien var nok for Kasper Schmeichel,"Kasper Schmeichel slår fast, at han langt fra føler sig færdig på landsholdet",,False,
Fodbold,Hvem scorede til 4-0? Eriksen og Poulsen er uenige,"Yussuf Poulsen snittede et indlæg fra Christian Eriksen i mål, mener han. Eriksen anerkender ikke berøringen",,True,
Fodbold,Hjulmand griner af David Nielsens opfordring,Der var god stemning i TV 2-studiet efter sejren over San Marino,,True,
Fodbold,"- Det var et rørende øjeblik for os, siger San Marinos landstræner","Der var flere tilskuere i Parken torsdag aften, end der er indbyggere i San Marino. De gav fra start sanmarineserne en sjælden oplevelse",,False,
Fodbold,Hjulmand giver opdatering på fravalgt profil,Situationen omkring Alexander Bah giver anledning til bekymring for Danmarks landstræner,,False,
Fodbold,"- Han var glad igen, og han sprudlede fra sin position",Morten Bruun uddeler karakterer til de danske spillere efter sejren på 4-0 over San Marino i EM-kvalifikationen,,True,
Fodbold,"Vi skal undlade at stå og råbe, mener ekspert",4-0-resultatet mod San Marino er godkendt ifølge TV 2s fodboldekspert,,True,
Fodbold,"- Det er en lidt underlig kamp, siger Eriksen",Efter den sikre sejr over San Marino ligger Danmark nummer to i pulje H,,True,
Fodbold,"Danmark fik, hvad de kom efter - men heller ikke mere end det","Sejren til Danmark var aldrig i fare, men folkefesten udeblev. ",,True,
Fodbold,Henry debuterer med sejr mod Danmark,Danmarks U21-landshold mødte Frankrigs ditto i en testkamp og tabte med 1-4 i Nancy,,True,
