Category,Headline,SubHeading,Link,isResult,isMaybe
Håndbold,Jacobsen reagerer på Pytlick-skade: - Jeg er lige så ked af det,Tirsdag udtager Nikolaj Jacobsen en erstatning til landsholdet,,False,
Håndbold,Skadet Pytlick forventes ude resten af året,Den danske landsholdsspiller blev skadet i weekenden. ,,False,
Håndbold,Landin er skuffet efter storsejr: - Det er ikke godt nok,"Håndboldekspert Peter Bruun Jørgensen mener, at Aalborg skal have set nærmere på den dårlige periode, inden de tager den med videre til andre kampe",,True,
Håndbold,Aalborg buldrer videre med 10. ligasejr i træk,Aalborg Håndbold er seks point foran nærmeste konkurrent efter en sikker sejr over Fredericia,,True,
Håndbold,Esbjerg fortsætter dansk CL-dominans,Med en sejr over Ferencvaros søndag er de danske mestre på otte point efter fem kampe i CL-gruppen,,True,
Håndbold,GOG-dansker bekræfter dialog med storklub ,I den tyske klub vil Mensing potentielt blive holdkammerat med en række danskere. ,,False,
Håndbold,"Nyegaard sætter ord på Lauges kritik: - Der er alt, alt, alt for meget film","Rasmus Lauge oplever en anden dommerlinje i Danmark. Bent Nyegaard ærgrer sig over, at der ikke er flere kendelser for film. ",,False,
Håndbold,"- GOG-spillerne kaster og smider sig hele tiden, og det er forfærdeligt at se på",Dommerlinjen i den danske liga frustrerer Rasmus Lauge,,False,
Håndbold,Danmarks onde ånd dukker Odense i CL-gruppen,Ulrik Kirkely vandt med Györ opgøret mod sin gamle arbejdsgiver Odense i lørdagens Champions League-opgør,,True,
Håndbold,Lauge får direkte rødt i nederlag til GOG ,Bjerringbro/Silkeborg blev en profil fattigere midtvejs i første halvleg,,True,
Håndbold,Sagosen blev bedt om at tabe sig: - Jeg mærker det,Nordmanden har været flyvende i Champions League denne sæson,,False,
Håndbold,Dramatisk vejr aflyser ligakamp,Håndboldkampen mellem TMS Ringsted og Lemvig-Thyborøn er udsat til onsdag aften,,False,
Håndbold,Dansk trio stjal showet i topkamp,"Füchse Berlin bygger videre på en historisk god sæsonstart, som har kastet ti sejre af sig i ti Bundesliga-kampe",,True,x
Håndbold,GOG-direktør spiller hasard med klubbens renommé,TV 2 Sports håndboldekspert Bent Nyegaard ser ikke længere GOG som førsteudfordrer til at konkurrere med Aalborg om det danske mesterskab,,False,
Håndbold,Præsidenten og hans følge må gå af,TV 2s afsløringer bør få konsekvenser for den øverste ledelse i det europæiske håndboldforbund,,False,
Håndbold,Team Esbjergs drøm brast,TV 2 Sport bringer hver mandag en klumme om de seneste begivenheder i håndboldens verden,,False,
Håndbold,"Er det for kedeligt med GOG, Aalborg, Esbjerg og Odense hele tiden?",TV 2 Sports håndboldredaktør Dan Philipsen zoomer i denne klumme ind på de fire klubbers dominans,,False,
Håndbold,Svipser inden europæisk kamp: - Hvorfor er målet så langt væk?,Danske Simon Gade var med for Hannover i den europæiske kamp,,False,
Håndbold,Dansker stopper med øjeblikkelig virkning i Portugal,Bruddet skyldes personlige årsager. ,,False,
