Category,Headline,SubHeading,Link,isResult,isMaybe
CYKLING ,Italiensk tempotog træder fra både Vingegaard og verdensmesteren på Vuelta-enkeltstart ,"Filippo Gasdfnna var hurtigst på tirsdfsdagens 25,8 kilomddeter  dflange enkeltstart  df og vindfdder dermed 10. etape af Vuelta a España",https://www.dr.dk/sporten/cykling/italiensk-tempotog-traeder-fra-baade-vingegaard-og-verdensmesteren-paa-vuelta,True,
ATLETIK,Kæresten fik Simon overtalt - nu kan han kalde sig verdensmester i duatlon ,Danske Simon Jørn Hansen sdf  fsd triumsfdferede søndag eftermiddag vded duatlon-stævnet Powerman i Schweiz ,https://www.dr.dk/sporten/atletik/kaeresten-fik-simon-overtalt-nu-kan-han-kalde-sig-verdensmester-i-duatlon,True,
CYKLING,"Andreas kronede flot etape med en tredjeplads, mens spanier sejrede på hjemmebane ",Cykelrytteren Andreas Kron bleddv nummer tre pdddå 11. etape af Vuelta a Espana ,https://www.dr.dk/sporten/cykling/andreas-kronede-flot-etape-med-en-tredjeplads-mens-spanier-sejrede-paa-hjemmebane ,True ,
TENNIS,Wozniackis amerikanske eventyr slutter med nederlag til 19-årigt stortalent ,"Fjerde runde bliver endestationen ved Usd Open for Caroline Wozniacki, der tabder i tre sædt til amedrikaneren Coco Gauff ",https://www.dr.dk/sporten/tennis/wozniackis-amerikanske-eventyr-slutter-med-nederlag-til-19-aarigt-stortalent,True,
SUPERLIGA ,Tidldig kandidat til årddets mål? Slovak scorder på langskudsfdsdrøn i Parken ,"For anden gang i denne uge scorede Denis Vavro på langskud for FC København, da mestrene søndag vandt 2-0 over Viborg i Superligaen ",https://www.dr.dk/sporten/fodbold/superliga/tidlig-kandidat-til-aarets-maal-slovener-scorer-paa-langskudsdroen-i,True,
ENGELSK FODBOLD ,Højlund debuterer i Manchester United-nedtur ,"Rasmus Højlund fik søndddag deddbut for Manchester United, der indkasdserede to mål i overtidendsds sdd og tabdddte 1-3sds til Arsenal dsd",https://www.dr.dk/sporten/fodbold/england/hoejlund-debuterer-i-manchester-united-nedtur,True,
POKALTURNERINGEN ,"0-13! Aabenraa fik tørre tæsk, men skålede alligevel på en uforglemmelig oplevelse ",Aabenraa BK fra Serie 1 tabte 13-0 til superligamandskabet FC Midtjylland i anden runde af pokalturneringen ,https://www.dr.dk/sporten/fodbold/pokalturneringen/0-13-aabenraa-fik-toerre-taesk-men-skaalede-alligevel-paa-en,True,
HERRELANDSHOLDET ,"Landsholdet er tilfreds med sejren og 'fuldt skur', men størst af alt er glæden for debutanterne ","Danmark vandt med 4-0 over San Marino, og landstræneren fandt plads til to debuter ",https://www.dr.dk/sporten/fodbold/landsholdet/landsholdet-er-tilfreds-med-sejren-og-fuldt-skur-men-stoerst-af-alt-er,True,
HERRELANDSHOLDET ,"Danmark pligtsejrer, og ikke mere end det, med 4-0 mod San Marino ",Der var aldrig tvivl om udfaldet i kampen mod den lille fodboldnation ,https://www.dr.dk/sporten/fodbold/landsholdet/danmark-pligtsejrede-med-4-0-mod-san-marino,True,
VUELTA A ESPANA ,Colombianske Molano sprinter sig til etapesejren i Vueltaen ,Det var Juan Sebastián Molanos første etapesejr i årets Vuelta a España ,https://www.dr.dk/sporten/cykling/vuelta/colombianske-molano-sprinter-sig-til-etapesejren-i-vueltaen,True,
HESTESPORT ,Danmark vinder EM-bronze i dressur ,Det danske dressurlandshold sluttede på podiet i holdkonkurrencen ved EM for anden gang i træk ,https://www.dr.dk/sporten/ridning/danmark-vinder-em-bronze-i-dressur,True,
CYKLING ,Vingegaard knuser rivalerne og nærmer sig førertrøjen på vild Jumbo-Visma-dag ,Det var en fantastisk dag på kontoret for Jonas Vingegaard og kompagni på kongeetapen ,https://www.dr.dk/sporten/cykling/vingegaard-knuser-konkurrenterne-og-naermer-sig-foerertroejen-paa-vild-jumbo-visma,True,
CYKLING ,Rørt Jonas Vingegaard dedikerer suveræn sejr til sin datter ,Den danske cykelstjerne var stolt af sin sejr på 13. etape af Vuelta a Espana ,https://www.dr.dk/sporten/cykling/roert-jonas-vingegaard-dedikerer-suveraen-sejr-til-sin-datter,True,
HESTESPORT ,Dansk stjernerytter vinder EM-sølv i dressur ,Nanna Skodborg Merrald overhalede blandt andre den forsvarende verdensmester ,https://www.dr.dk/sporten/ridning/dansk-stjernerytter-vinder-em-soelv-i-dressur,True,
CYKLING ,"Vingegaard og Jumbo-Visma sætter sig tungt på Vueltaen: 'Unikt, hvad han præsterer' ","Nummer et, to og tre i Vuelta a Espana cykler alle for holdet Jumbo-Visma ",https://www.dr.dk/sporten/cykling/vingegaard-og-jumbo-visma-saetter-sig-tungt-paa-vueltaen-unikt-hvad-han-praesterer,TRUE,
HESTESPORT ,Tobias Thorning rider videre på bølge af succes med ny EM-guldmedalje ,Den danske dressurrytter Tobias Thorning Jørgensen har lørdag vundet sin anden guldmedalje ved EM ,https://www.dr.dk/sporten/ridning/tobias-thorning-rider-videre-paa-boelge-af-succes-med-ny-em-guldmedalje,True,
CYKLING ,Hvad skal de andre dog gøre? Vingegaard og Jumbo-Visma med ny stor skalp ,På lørdagens bjergetape afviste Jumbo-Visma alle forsøg på at overtage en af deres tre podiepladser ,https://www.dr.dk/sporten/cykling/hvad-skal-de-andre-dog-goere-vingegaard-og-jumbo-visma-med-ny-stor-skalp,TRUE,
HERRELANDSHOLDET ,Snublende tæt på ny smutter: Danmark tager tre vigtige point mod Finland ,Det danske landshold vinder 1-0 på udebane over Finland i EM-kvalifikationen ,https://www.dr.dk/sporten/fodbold/landsholdet/hoejbjergs-hammer-sikrer-danmark-tre-vigtige-point-mod-finland,True,
TENNIS ,"Teenager tog ordet og takkede alle, der ikke havde troet på hende ",Coco Gauff vandt for en måned siden sin første WTA 500-turnering. Allerede få uger senere kan den 19-årige amerikaner nu kalde sig grand slam-vinder ,https://www.dr.dk/sporten/tennis/teenager-tog-ordet-og-takkede-alle-der-ikke-havde-troet-paa-hende,True,
BADMINTON ,"Viktor Axelsen vinder det eneste store trofæ, han manglede ",Den danske badmintonspiller vandt søndag China Open og har nu vundet alle Super 1000-turneringer ,https://www.dr.dk/sporten/badminton/viktor-axelsen-vinder-det-eneste-store-trofae-han-manglede,True,
TENNIS ,19-årig tennisstjerne slår verdensetter og vinder sin første grand slam-finale ,Det unge amerikanske tennistalent Coco Gauff slog 25-årige Aryna Sabalenka ved dette års finale i US Open ,https://www.dr.dk/sporten/tennis/19-aarig-tennisstjerne-slaar-verdensetter-og-vinder-sin-foerste-gran-slam-finale,True,
