Category,Headline,SubHeading,Link,isResult,isMaybe
Motorsport,Skrottet Formel 1-hollænder skal jagte succes i elbil,"Nyck de Vries præsterede ikke i Formel 1 og skifter nu til en motorsportsklasse, han tidligere har vundet",,True,x
Motorsport,"Dansk stjerne anklages for ""fuldstændig uacceptabel og respektløs opførsel""","Speedwaykører Leon Madsen føler sig brugt som syndebuk af klubben Nordjysk Elite Speedway, der nu er gået i opløsning",,False,
Motorsport,Dansker vinder EM i speedway igen,Som den første kører har Mikkel Michelsen vundet det individuelle EM-guld tre gange i karrieren,,True,
Motorsport,Nyhed efterlod Nicki P. med chokreaktion ,Speedway-profilen kunne godt have ønsket sig en bedre afsked med sin mangeårige klub,,False,
Motorsport,Dansk klub smider Nicki P. på porten,Holsted smider Nicki Pedersen på porten i generationsskifte. Pedersen er skuffet over processen i klubben,,False,
Motorsport,Leon Madsen vinder grandprixet i Vojens,"Leon Madsen sikrede den første danske grandprixsejr i år, da han triumferede i Vojens",,True,
Motorsport,Dansk titelaspirant udgår på første omgang,"Frederik Vestis Formel 2-titelchancer led søndag et knæk, da han udgik på første omgang af løbet i Italien",,False,
Motorsport,Vesti nærmer sig førsteplads i Formel 2 med ny sejr,Frederik Vesti vandt lørdagens sprintløb på Monza-banen og er nu blot syv point fra førstepladsen i Formel 2,,True,
Motorsport,Vesti udgår af bizart løb,Frederik Vesti udgik tidligt efter et usædvanligt uheld. Ingen af topkørerne fik point på en dramatisk dag,,False,
Motorsport,Dansker i slemt styrt,Efter et slemt styrt i Polen er den danske speedwaykører Patrick Hansen blevet sendt på hospitalet,,False,
Motorsport,"- Mercedes ved allerede, at jeg er en af de hurtigste i verden",Danmark kan meget muligt have en ny Formel 1-kører inden for en overkommelig fremtid,,False,
Motorsport,Danskers sæson er ovre efter grimt styrt,Anders Thomsen ville ikke opereres af læge i Mickey Mouse-T-shirt efter styrt i Letland i lørdags,,False,
Motorsport,Dansker brækker arm og fire ribben i VM-styrt,"Anders Thomsen fik hjernerystelse, brækkede sin venstre arm og fire ribben efter styrt i VM-grandprix i Riga",,False,
Motorsport,Dansker kørt på hospitalet efter alvorligt uheld,Anders Thomsen styrtede alvorligt i et af de indledende heats og er udgået af det lettiske grandprix i Riga,,False,
Motorsport,Mangeårig DMU-formand Jørgen Bitsch er død,Et styrt på en motocross-maskine endte med at koste Jørgen Bitsch livet,,False,
Motorsport,Dansker mister føring efter uheld,"Frederik Vesti kørte galt før løbsstart i Belgien, og danskeren mistede efterfølgende sin føring i Formel 2",,False,
Motorsport,Flot comeback sikrer Danmark VM-bronze i speedwayfinale,Danmarks speedwaylandshold kom flot tilbage efter skidt start og endte med bronzemedaljer ved VM for hold,,True,
Motorsport,Vestis føring i Formel 2 skrumper,"Frederik Vesti forbedrede sig i sprintløbet, men tabte terræn i stillingen om Formel 2-mesterskabet",,True,
Motorsport,Lundgaard skriver historie med første IndyCar-sejr,Christian Lundgaard vandt søndag et løb i Toronto i den amerikanske IndyCar-serie som den første dansker nogensinde,,True,
Motorsport,Madsen smider sejren i sidste sving,"Leon Madsen så ud til at slutte en næsten fire år lang sejrstørke, men mistede føringen til sidst i Gorzow",,True,
Le Mans,Dansker knust efter bitter afslutning,Iron Dames med danske Michelle Gatting var længe i spil til en podieplacering i Le Mans,,True,
Le Mans,Ferrari vinder Le Mans i storslået comeback,I kongeklassen Hypercar endte Ferrari med sejren. Danske Michelle Gatting og Iron Dames #85 blev nummer fire i LM GTE Am-klassen,,True,
Le Mans,"Dramatisk nat med danskerbiler i problemer, vilde uheld og Magnussen-exit",Helt som ventet blev nattetimerne i Le Mans dramatiske. To danske biler måtte udgå,,False,x
Le Mans,Dansker-exit var arrangørs fejl: - Det bør ikke kunne ske,"En fejl fra løbsarrangøren blev dyr for det danske GMB Motorsport, der udgik efter bare to timer af Le Mans",,False,
Le Mans,Danskerbil udgår af Le Mans: - Det er helt forfærdeligt,Et crash efter to timer af Le Mans koster danskerbilen #55 videre deltagelse i det ikoniske løb,,False,
Le Mans,Kom helt tæt på: Dansk Le Mans-håb gør dig klogere på bilen i topklassen,Den danske Porsche-kører Michael Christensen fortæller om forskellene på en hypercar og en LMP1-racer,,False,
Motorsport,Magnussen får comeback på Le Mans,For 24. gang stiller Jan Magnussen op i det legendariske 24-timersløb på Circuit de la Sarthe,,False,
Motorsport,"- Præsterer jeg ikke nu, så bliver jeg aldrig Formel 1-kører","Racerkøreren Frederik Vesti står midt i sit livs vigtigste sæson. En sæson, der kommer til at definere, om fremtiden kan ligge i Formel 1",,False,
Motorsport,21-årig dansker er tredobbelt europamester - men mangler stadig én ting,"21-årige Sara Andersen er en af verdens bedste motorcrosskørere. Hun har vundet næsten alt, hvad der er at vinde. Hun mangler kun én ting",,True,
Le Mans,"Dansk Le Mans-hold fyrer Elgaard: - Ikke sådan, jeg håbede, det skulle ende","Der er tale om en opgradering, når GMB Motorsport skifter Casper Elgaard ud med Henrik Lundgaard i rollen som teamchef, lyder det fra holdet",,False,
Motorsport,Dansk racerkører triumferer i Formel 2,"Frederik Vesti startede som nummer seks, men vandt søndagens Formel 2-løbet i Jeddah",,False,
Motorsport,Dansker får to års karantæne for hashindtag,Marcus Birkemose skal afsone to års karantæne for indtag af hash. DIF's appelinstans har stadfæstet hans dom,,False,
Motorsport,Magnussen opereret - misser stort løb,Kevin Magnussen kommer ikke til start i racerløbet i Daytona. Han ærgrer sig over afbuddet,,False,
