Category,Headline,SubHeading,Link,isResult,isMaybe
Skisport,'Kongen' sendte uventet signal til sine landsmænd ,"Johannes Thingnes Bø er verdens bedste skiskytte. Lørdag havde han tid til at lave et show, man sjældent ser under konkurrencer. ",,False,
Skisport,Norsk stjerne stopper karrieren,Tiril Eckhoff er en af ??Norges førende skiskytter gennem tiderne,,False,
Skisport,Norsk stjerne stopper efter historisk præstation,Marte Olsbu Røiseland står foran sin sidste konkurrence som eliteatlet. Det erfarer flere norske medier,,False,
Skisport,Shiffrin støder Stenmark ned fra historisk skitrone,Mikaela Shiffrin var hurtigst i slalomløbet i Åre og er nu den mest vindende World Cup-skiløber nogensinde,,True,
Skisport,Brødrene Bø retter ind efter kritik - misser konkurrencer,Hverken Johannes Bø eller storebror Tarjei Bø vil stille til start i den individuelle konkurrence og på stafetten i Østersund i den kommende weekend,,False,
Skisport,Slettemark langt fra VM-medalje,"Drilske vejrforhold var medvirkende til, at ingen skød fejlfrit i de kvindelige juniorers individuelle konkurrence ved VM",,True,
Skisport,Shiffrin må vente på rekord,"Mikaela Shiffrin blev nummer syv i søndagens super-G-løb, som Østrig dominerede",,True,
Skisport,"Shiffrin misser rekord, men vinder World Cup samlet",Mikaela Shiffrin kan for femte gang i karrieren lade sig hylde som vinder af den samlede World Cup,,True,
Skisport,"""Kongen af VM"" tjente 250.000 kroner i timen","Den norske skiskytte Johannes Thingnes Bø forlader tyske Oberhof som ""Kongen af VM"", efter han vandt VM-medaljer i samtlige af sine syv discipliner",,True,
Skisport,Stjerner diskuterer midt under løb: - Det er egoistisk,Martin Ponsiluoma og Sturla Holm Lægreid var stærkt uenige før den anden skydning i søndagens fællesstart ved VM,,False,
Skisport,"Kaos-stafet ender i norsk nedtur - men Bø viste ""uhørt"" niveau","De norske stjerner måtte se sig slået af Frankrig i en stafet, hvor Johannes Thingnes Bø viste imponerende høj klasse",,True,
Skisport,Norsk guldvinder opdagede vigtig detalje fra sofaen,"Skiskytten Marte Olsbu Røiseland fortæller selv, at den lille ændring har fungeret godt for hende ved dette VM",,False,
Skisport,VM-konkurrencer i fare for at blive aflyst,Udsigten til dårlige vejrforhold i tyske Oberhof har skabt bekymringer forud for herrernes og kvinderes stafet,,False,
Skisport,"Guldvinder anede ikke, hun skrev historie","Norge vandt guld i single mixed stafetten torsdag, og det sikrede Marte Olsbu Røiseland en tur i historiebøgerne",,True,
Skisport,Norge vinder - Bø fortsætter vild stime,Det var helt tæt til det sidste i single mixed stafetten torsdag,,True,
Skisport,"- Jeg mistede lidt hovedet, siger skuffet Slettemark","Nu sætter den unge skiskytte fokus på juniorernes verdensmesterskab, der begynder i starten af marts",,False,
Skisport,Dropper sin træner midt under VM,"Mikaela Shiffrins træner, Mike Day, har forladt alpin-VM, efter at han blev fyret af skistjernen",,False,
Skisport,Nyt VM-guld til Bø - stort drama om sølvet,"Den norske skiskytte Johannes Thingnes Bø fortsætter sin dominans ved VM i tyske Oberhof, selvom han var presset undervejs på 20 kilometer individuel",,True,
Skisport,Stjerne på vej mod historisk triumf - men i dag har rivalerne chancen,"Johannes Thingnes Bø har været suveræn ved VM, men måske gør nordmanden ikke rent bord i år. Dagens konkurrenceform kan nemlig vise sig drilsk",,False,
Skisport,Skistjerner kræver klimahandling,"Julian Schütter er en af de skiløbere, der kræver handling. Han betegner de nuværende tiltag fra FIS som utilstrækkelige",,False,
Skisport,Skiskytte stopper før målstregen og efterligner Haaland,Suveræne Johannes Thingnes Bø har indtil videre vundet tre guldmedaljer i træk ved VM i skiskydning,,True,
Skisport,Skiskytte fik særlig instruks - så endte han med hovedet i grøften,"Andrejs Rastorgujevs kom i fokus med et styrt, der fik ham selv til at trække på smilebåndet",,False,
Skisport,Odermatt tager VM-guld med største sejrsmargin i 16 år,"Ikke siden Aksel Lund Svindal vandt VM-guld i 2007, er styrtløbet blevet vundet så overlegent som i år",,True,
Skisport,Grønlænder misser VM-disciplin efter sygdom,"Ukaleq Slettemark har droppet søndagens jagtstart, da hun har ondt i halsen og fokuserer på fremtidige mål",,False,
Skisport,Schweiz tager guld og bronze i kvindernes VM-styrtløb,"Jasmine Flury fra Schweiz var hurtigst i kvindernes styrtløb, mens landsmanden Corinne Suter tog bronze",,True,
Skisport,Lavede sjov i TV 2-konkurrence: - Den holder ikke,"Ukaleq Slettemark kunne ikke holde grinet tilbage, da hun blev spurgt ind til sin deltagelse i TV 2 SPORTs skiskydningskonkurrence",,False,
Skisport,Grønlænder fik stor VM-overraskelse: - Havde jeg godt nok ikke troet,"Ukaleq Slettemark havde på ingen måde regnet med, at hun igen skal i aktion allerede på søndag",,False,
Skisport,Eksperter i chok over disse billeder,"Det internationale skiskydningsforbund får kritik, efter at de ikke har straffet Belgien og Thierry Langer efter en ""chokerende aktion""",,False,
