Category,Headline,SubHeading,Link,isResult,isMaybe
Amerikansk fodbold ,Froholdt eskorteret fra banen: - Jeg forstod det ikke,Den danske NFL-spiller måtte ikke gå tilbage på banen ,https://sport.tv2.dk/amerikansk-fodbold/2023-10-03-froholdt-eskorteret-fra-banen-jeg-forstod-det-ikke,FALSE,
Cykling ,Ritter er ikke i tvivl: - Et stensikkert bevis,"Det er blot et spørgsmål om tid, før superfusionen bliver en realitet ",https://sport.tv2.dk/cykling/2023-10-03-ritter-er-ikke-i-tvivl-et-stensikkert-bevis,FALSE,
Cykling ,Nu reagerer UCI på cykelsportens største historie,"En fusion vil betyde, at der kun vil være 17 World Tour-hold til næste år, bekræfter de ",https://sport.tv2.dk/cykling/2023-10-03-nu-reagerer-uci-paa-cykelsportens-stoerste-historie,FALSE,
E-sport ,Dansk succestræner skifter til saudiarabisk organisation,"37-årige Danny 'zonic' Sørensen forlader verdensetterne og skifter til et hold, der rangerer som nummer 55 i verden ",https://sport.tv2.dk/e-sport/2023-10-04-dansk-succestraener-skifter-til-saudiarabisk-organisation,FALSE,
Boksning ,Vandt kæmpebrag - Thorslund er nu dobbelt verdensmester,Efter sejren fredag aften er Dina Thorslund nu dobbelt verdensmester i bantamvægt ,https://sport.tv2.dk/boksning/2023-09-02-vandt-kaempebrag-thorslund-er-nu-dobbelt-verdensmester,TRUE,
Sport ,Dansk bokser snupper guld ved European Games,"Serbiske Vakhid Abbasov måtte se sig besejret af danske Nikolai Terteryan, som vandt guld i Krakow ",https://sport.tv2.dk/2023-07-02-dansk-bokser-snupper-guld-ved-european-games,TRUE,
Curling ,VM-nedtur fortsætter for curlingkvinder,Danmarks kvindelige curlinglandshold taber 2-7 til USA og er nu oppe på fire nederlag i træk ved VM ,https://sport.tv2.dk/curling/2023-03-21-vm-nedtur-fortsaetter-for-curlingkvinder,TRUE,
Ridning ,Tobias Thorning sikrer ny guldtriumf med rekordscore,"Den danske paradressurrytter leverede en stor præstation, da han søndag vandt VM-guld i freestylekonkurrencen ",https://sport.tv2.dk/ridning/2022-08-14-tobias-thorning-sikrer-ny-guldtriumf-med-rekordscore,TRUE,
Ridning ,Dufour tager tredje VM-medalje,"Charlotte Fry blev den blot ottende rytter i historien til at score over 90, og det gav VM-guld foran dansker ",https://sport.tv2.dk/ridning/2022-08-10-dufour-tager-tredje-vm-medalje,TRUE,
Boksning ,Sarah Mahfoud ser ny VM-kamp som uundgåelig,Et år efter at have mistet sin status som verdensmester vil Sarah Mahfoud tage et stort skridt mod ny VM-kamp ,https://sport.tv2.dk/boksning/2023-10-07-sarah-mahfoud-ser-ny-vm-kamp-som-uundgaaelig,False,
