Category,Headline,SubHeading,Link,isResult,isMaybe
Tennis,Rune har allerede lært af ny træner: - Jeg er bare superglad,Holger Rune tog revanche mod Miomir Kecmanovic,,True,
Tennis,Derfor er Boris Becker alene som træner i Runes boks,Lars Christensen er ikke med Holger Rune-lejren i Basel. Det vil heller ikke være tilfældet i Paris i næste uge,,False,
Tennis,"- Jeg vil hellere have, at folk taler lort om mig, end at de slet ikke taler om mig","Den danske tennisspiller lytter kun til positiv eller negativ kritik, når det kommer fra teamet, der er omkring ham",,False,
Tennis,Rune får mulighed for lynhurtig revanche,"Rune har 300 ATP-point, han skal forsvare fra sidste års finaleplads i Basel",,False,
Tennis,"- Vi dødelige aner ikke, hvor hårdt det er","Holger Rune har endelig fået én ind i sit team, der selv har erfaring med at vinde Grand Slams som spiller",,False,
Tennis,"Rune kan gnide sig i hænderne, når han ser Beckers resultater","Boris Becker nåede at træne Novak Djokovic i tre sæsoner, hvor serberen var noget nær umulig at slå",,False,
Tennis,Rune-lejren forklarer tennisikons rolle,Boris Becker kommer til at være manden i Runes boks sæsonen ud. ,,False,
Tennis,Ansættelse af legende kommer bag på ekspert,"Peter Bastiansen er ikke sikker på, om den tyske legende Boris Becker kan bidrage med det, som Rune har allermest brug for i øjeblikket",,False,
Tennis,Rune får tysk legende som fast træner ,Han bliver en del af trænerteamet i næste uge til ATP 500-turneringen i Basel. ,,False,
Tennis,"Nu er Rune i sin første store krise, siger ekspert",Holger Rune har vundet én kamp i løbet af det seneste kvartal. ,,True,
Tennis,Rune er selvsikker trods ny fiasko,Holger Rune tabte sin første kamp ved Stockholm Open onsdag aften. Danskeren er alligevel optimistisk,,True,
Tennis,Rune i ny fiasko - taber første kamp i Stockholm ,Holger Rune har nu tabt 10 af sine 11 seneste kampe. ,,True,
Tennis,"Rune åbner titelforsvar mod spiller, der minder om Djokovic","Holger Rune sad over i første runde i turneringen, da han er topseedet. Men onsdag skal han i aktion",,False,
Tennis,Becker-samarbejde har fået Rune til at mærke en virkelig stor forskel,Holger Rune har indtil videre nydt godt af samarbejdet med den tidligere tennisstjerne Boris Becker,,False,
Tennis,"Ifølge tysk medie bliver legende ""super-coach"" for Rune","Aneke Rune kan hverken af- eller bekræfte, om der er indgået et samarbejde med Boris Becker",,False,
Tennis,Holger Rune og Aneke taler ud om reprimande,"Aneke Rune forsøgte at få gang i sin søn, da det så allersværest ud",,False,
Tennis,Rune falder ned på verdensranglisten,Efter en serie af dårlige resultater er Holger Rune røget ned på sjettepladsen på ranglisten,,True,
Tennis,"Runes store drøm svinder hen - men det er faktisk et mirakel, at håbet stadig lever","Slutspurten mod sæsonfinalerne starter nu, og Holger Rune har kniven for struben",,False,
Tennis,Blev rasende på fotograf på afgørende tidspunkt - kort efter var finalen tabt,Rublev endte med at tabe kampen efter tiebreak,,True,
Tennis,"- Det må føles rart for Holger, siger Aneke Rune om nyt samarbejde",Der er en rigtig god kemi mellem Holger Rune og Boris Becker. ,,False,
Tennis,Boris Becker hjælper Holger Rune med træningen,I Lars Christensens fravær har Boris Becker hjulpet Holger Rune på træningsbanen,,False,
Tennis,Rune får lovende lodtrækning i titelforsvar,Den 20-årige dansker har fået en overkommelig lodtrækning til Stockholm Open,,False,
Tennis,Dommer nægtede - så gav modstander smuk gestus,De to amerikanske talenter Sebastian Korda og Ben Shelton pressede hinanden til det yderste i en Masters-kvartfinale i Shanghai,,False,
Tennis,ATP-turnering i Tel Aviv aflyses,"En tennisturnering, der skulle have fundet sted i Tel Aviv i november, er blevet aflyst af sikkerhedshensyn",,False,
Tennis,I bagklogskabens lys ville Rune-lejren gerne have gjort én ting om,Holger Rune er i arbejdstøjet og gør sig klar til de kommende uger,,False,
Tennis,Alcaraz i sjældent tidligt exit,"Carlos Alcaraz tabte ottendedelsfinale til Grigor Dimitrov i Shanghai, hvor de fleste favoritter er ude",,True,
Tennis,Nadal gør comeback i stor turnering,"Spanieren har været ude siden januar, hvor han kom til skade i netop Australian Open",,False,
Tennis,Billeder af ugidelig stjerne vækker opsigt,Benoit Paire gjorde ikke meget for at vinde tenniskampen mod Pedro Martinez,,False,x
Tennis,Swiatek stopper US Open-mesteren,"Efter 16 sejre i træk fik Coco Gauff bank af Iga Swiatek i China Open, hvor interessen er begrænset",,True,
Tennis,Midt i stor ydmygelse fik Rune kontant besked af sin mor,Tennisekspert Michael Tauson har ikke mange positive ting at sige om Holger Runes nederlag til ranglistens nummer 122,,True,
Tennis,Rasende Rune ydmyget i stor turnering,"Holger Rune var chanceløs i mødet med verdens nummer 122, amerikanske Brandon Nakashima",,True,
Tennis,"Rune har noget, som modstander ikke har, mener ekspert",Holger Rune har været inde i en bølgedal,,False,
Tennis,Murray rasende efter intens duel,Den tidligere verdensetter blev nødt til at få afløb for sin vrede,,False,
Tennis,Australier undskylder efter diskvalifikation,Han vil blandt andet invitere kampens dommer på kaffe,,False,
Tennis,Sinner vinder og bryder forbandelse,"Jannik Sinner fik for første gang i karrieren skovlen under Daniil Medvedev, da han vandt China Open",,True,
Tennis,Her dummer spiller sig på historisk dårligt tidspunkt,Australieren kunne ikke styre sin vrede efter en misset matchbold,,False,
Tennis,Sinner slår Alcaraz og rykker forbi Holger Rune,Jannik Sinner slog Carlos Alcaraz i China Open og rykker forbi Holger Rune på verdensranglisten,,True,
Tennis,Australian Open reagerer efter spillernes kritik,For at minimere sene aftenkampe tilføjer Australian Open i 2024 en ekstra dag til kampprogrammet,,False,
Tennis,Stjerne klarede sig igennem disse scener,En af verdens bedste tennisspillere kæmpede med maveonde mandag aften. ,,False,
Tennis,"Ekspert er klar i mælet: - Det er spillere, Rune skal kunne slå",Efter en hård lodtrækning i Beijing har lodtrækningsguderne været gode ved Holger Rune,,False,
Tennis,Rune skal i aktion igen - og får overkommelig modstander,"Holger Rune kan møde Carlos Alcaraz i finalen, hvis de begge når dertil",,False,
Tennis,"Det hele er ikke så sort efter Rune-nederlag, mener ekspert","Holger Rune spiller en turnering mere i Kina i form af Shanghai Masters, før et stort pointforsvar i Europa venter",,True,
Tennis,Rune lider sit første nederlag i Kina,Holger Rune fandt aldrig rytmen og er derfor ude af turneringen,,True,
Tennis,"- Vi så den gamle Rune, siger ekspert",Den unge tennisspiller har bokset med rygproblemer og nedadgående spil det sidste stykke tid,,False,
Tennis,Stjerne raser: - Er du blind?,"Verdens nummer tre argumenterede for, at det var boldpigens skyld",,False,
Tennis,Rune med god udmelding efter forløsende sejr,Efter en svær periode tog Holger Rune sin første sejr i mere end to måneder,,True,
Tennis,Tauson trækker sig fra stor turnering,Clara Tauson har fortsat problemer med ryggen og har trukket sig fra kvalifikationen til WTA 1000-turneringen i Beijing,,False,
Tennis,Rune vinder første kamp i over to måneder,Holger Rune er videre til anden runde efter en sejr i to sæt,,True,
Tennis,"- Jeg glæder mig til at spille noget af mit bedste tennis, siger Rune",Den 20-årige dansker har aldrig tabt i Kina,,False,
Tennis,Rune klar efter pause: - Jeg har spillet turneringer med smerter,Efter noget tids pause føler Holger Rune sig igen klar til kamp,,False,
Tennis,Tauson-lejr melder ud efter skade,Den danske damesingle havde tabt første sæt,,True,
Tennis,Tauson i tårer - tvunget til at trække sig,Den 20-årige tennisspiller kæmpede med smerter i ryggen undervejs i kampen,,False,
Tennis,Ekspert gyser: - Det er en jo en vanvittig lodtrækning,"Holger Rune skal finde tilbage til sit gamle jeg, hvis hans stime på syv nederlag i træk skal brydes ved China Open. ",,False,
Tennis,Rune får svær lodtrækning i Kina,Turneringen i Beijing er en opvarmning til den store Masters-turnering i Shanghai i næste uge. ,,False,
Tennis,Her indleder Wozniacki den nye sæson,I forberedelserne til grand slam-turneringen Australian Open stiller Caroline Wozniacki til start i Auckland,,False,
Tennis,"- Jeg har den gladeste unge mand på banen, siger Runes mor","Holger Rune er landet i Kina og kan træne igennem i yderpositioner, fortæller Aneke Rune før China Open",,False,
Tennis,"Hylder Tauson: - Det er tennis på højt, højt niveau",Tauson fulgte op på sit kollaps i sidste uge med en flot sejr mod en højere rangeret russer,,True,
Tennis,Tauson-opvisning i første kamp efter kollaps,Clara Tauson storspillede i andet sæt og er videre til anden runde i Ningbo,,True,
Tennis,"- Jeg er starstruck, indrømmer Rune","Holger Rune har tidligere fortalt, at Roger Federer er et stort idol",,False,
Tennis,Godt nyt for Tauson efter uhyggelige billeder,"Clara Tauson har fået en restitutionsplan fra WTA's lægestab, som lige nu forløbet planmæssigt",,False,
Tennis,Wozniacki afviser citater om dopingdømt stjerne,Simona Halep er blevet idømt en fire år lang karantæne. ,,False,
Tennis,Tauson er i bedring: - Hun overvåges af læger,"Clara Tauson kollapsede i tredje sæt, men er nu i bedring",,False,
Tennis,Ubehagelige scener - Tauson går i jorden og køres fra banen,Clara Tauson fik det dårligt midt under en kamp i Kina og blev kørt væk efter flere minutters behandling. ,,False,
Tennis,Stjerne gør som Rune og trækker sig,Team Europe stiller til start ved Laver Cup uden en eneste top-fem-spiller,,False,
Tennis,Som 18-årig tordnede hun ind på den store scene - men hvor står Tauson nu?,Clara Tauson kæmper i øjeblikket for at genfinde sit tårnhøje niveau. ,,False,
Tennis,Topspiller tvunget til afbud efter absurd uheld på hotel,French Open-semifinalisten fik sig en ubehagelig på hotelværelset. ,,False,
Tennis,Rune-lejren melder ud efter scanning,"Aneke Rune deler godt nyt om sin søn, Holger Rune",,False,
Tennis,Stjerners afbud er godt nyt for Rune,Holger Rune har selv peget på ATP Finals som et af sæsonens største mål,,False,
Tennis,"- Jeg kæmpede til det sidste, siger Tauson","Danskeren var suveræn i første sæt, men så blev det tæt i andet",,True,x
Tennis,Tauson videre i Kina efter gyser af en tiebreak,Clara Tauson har stadig ikke tabt til tjekkiske Linda Fruhvirtová,,True,
Tennis,Holger Rune melder afbud til Laver Cup,Holger Rune har meldt afbud til Laver Cup og er blevet afløst af spanieren Alejandro Davidovich Fokina,,False,
Tennis,Skuffende nederlag blev den store øjenåbner for Holger Rune,Davis Cup-opgøret mod brasilianske Thiago Monteiro var det syvende i træk uden sejr for Holger Rune,,True,
