Category,Headline,SubHeading,Link,isResult,isMaybe
VM fodbold,"Landsholdslegende betaget af historisk VM, der har været ""en kæmpe succes""",VM i fodbold for kvinder i Australien og New Zealand har slået utallige rekorder. ,,False,
VM fodbold,Australiens VM-semifinale slår rekorder,"11,5 millioner australiere så på et eller andet tidspunkt med, da landsholdet onsdag spillede VM-semifinale",,False,
VM fodbold,England er i VM-finalen - sender værtsnation ud,"Med en 3-1-sejr er England klar til VM-finale mod Spanien, mens Australien skal spille om bronze mod Sverige.
",,True,
VM fodbold,Spanien er i VM-finalen efter afgørelse i sidste minut,"Spanien er VM-finaleklar i kvindefodbold på bekostning af Sverige, der led en hård skæbne i slutminutterne",,True,
VM fodbold,Australien overrasker efter vanvittigt straffedrama,"Efter 20 straffespark vandt Australien VM-kvartfinalen over Frankrig. Den ordinære kamp endte 0-0.
",,True,
VM fodbold,Sverige overlever voldsomt pres,I semifinalen venter spanierne,,False,
VM fodbold,Første VM-semifinalist fundet,I det 111. minut scorede Salma Paralluelo det afgørende mål for spanierne,,True,
VM fodbold,Colombia booker VM-kvartfinale - Frankrig følger trop,Colombia skal op mod England i nationens første VM-kvartfinale for kvinder nogensinde efter 1-0 over Jamaica,,True,
VM fodbold,Australske fans er ellevilde efter sejr,"De australske fans gik amok mandag på Stadium Australia, da dommeren fløjtede kampen mod Danmark af",,True,
VM fodbold,Modspiller reagerer på svinestreg,Michelle Alozie blev ufrivilligt en hovedperson i fortællingen om 1/8-finalen mellem Nigeria og England,,False,
VM fodbold,"- Der skal ikke så meget til, før det ser godt ud",Danmark er ude af VM efter et 2-0-nederlag til Australien. Danmark fik ellers en ret god start på kampen,,True,
VM fodbold,"- Det er en skuffelse, siger landstræner",Skuffelsen var stor i den danske lejr efter nederlaget til Australien,,True,
VM fodbold,Danmarks VM-drømme slukket af Australien,"Australierne var kyniske, når de fik chancen. De har sendt Danmark ud af VM",,True,
VM fodbold,England er i VM-kvartfinalen efter straffedrama,England skulle bruge 120 minutters fodbold og en straffesparkskonkurrence til at slå Nigeria ud,,True,
VM fodbold,"- Vi skal have vores egen fest, siger landstræner inden skæbnekamp","Det danske kvindelandshold vil holde liv i VM-drømmen, når de skal spille deres første VM-knockoutkamp i 28 år mod værtsnationen Australien",,False,
VM fodbold,Australsk stjerne tvivlsom mod Danmark,"Det er endnu uvist, hvor stor en rolle stjernen Sam Kerr får mod Danmark",,False,
VM fodbold,Spanien banker Schweiz ud af VM,Spanien vandt 5-1 over Schweiz i VM-ottendedelsfinalen og kunne sagtens have vundet den ensidige kamp større,,True,
VM fodbold,Forlader VM med sag om mulig seksuel chikane,"FIFA undersøger en klagesag, der vedrører Zambias fodboldkvinder ved den igangværende VM-slutrunde",,False,
VM fodbold,Knuste tyskere er tomme for ord,VM-gruppespillet blev endestationen for de tyske fodboldkvinder,,True,
VM fodbold,Rørende billeder efter overraskelse - nation i ekstase,Marokko deltager ved VM i kvindefodbold for første gang nogensinde,,False,x
VM fodbold,Ny sensation - VM-favoritter sendt ud ,"Colombia og Marokko er videre til ottendedelsfinalerne, efter at Tyskland storskuffede med 1-1 mod Sydkorea",,True,
VM fodbold,Dansk bedrift skaber begejstring - nu spilles der for noget større,De danske VM-spillere er selvsagt tilfredse med avancementet. Nu spiller de for noget større. ,,True,x
VM fodbold,Flov VM-profil: - Vi er dårlige rollemodeller,"1-6-nederlag til England har ramt Wang Shuang på stoltheden. Hun håber, Kinas næste generation bliver bedre",,True,
VM fodbold,Ny sensation - miniput sender Brasilien ud ,Jamaica er videre til ottendedelsfinalen ved fodboldkvindernes VM-slutrunde i Australien og New Zealand,,True,
VM fodbold,Sydafrika skriver VM-historie - sender Italien ud,"Sverige gik som ventet videre fra gruppe G og fik følgeskab af Sydafrika, som vandt 3-2 over Italien",,True,
VM fodbold,Vildt scenarie i spil: Sådan går Danmark videre ved VM,"Danmark kan både ende som nummer et, to eller uden for pladserne til videre avancement ved VM",,False,
VM fodbold,VM-vært tæver Canada og går videre,Australien levede op til et stort pres og vandt 4-0 over Canada. Australien er nu i VM-ottendedelsfinalen,,True,
VM fodbold,Norsk profil skyder tilbage: - Alt det pis stemmer ikke,"De norske landsholdsspillere mener, at pressen har skrevet usande historier om stemningen på landsholdet",,False,
VM fodbold,Spanien ydmyget i gruppefinale,"Japan havde sjældent bolden mod Spanien, men vandt gruppefinalen med 4-0",,True,
VM fodbold,Lange flyveture driller Danmark,VM-holdet har brugt to dage på flytransport i Australien og rejst små 8000 kilometer på det store kontinent,,False,
VM fodbold,VM-værter ryger ud - Norge er videre,"Den ene af de to værter for kvindernes VM, New Zealand, er ude efter gruppespil. Norge og Schweiz er videre",,True,
VM fodbold,Gennemfører VM-kamp i hijab og skriver historie,Nouhaila Benzina gennemførte søndag som den første en VM-kamp iført hijab,,False,
VM fodbold,Sverige videre ved VM efter storsejr,"På seks minutter indkasserede Italiens landshold tre scoringer i opgøret mod Sverige, der vandt 5-0",,True,
VM fodbold,Landstræner blåstempler Danmarks indsats ,"Danmark slap hæderligt fra opgøret mod England, selvom det ikke blev til point. ",,True,
VM fodbold,Danmark tæt på VM-overraskelse,Landsholdet har tre point efter to kampe ved VM,,True,
VM fodbold,Colombiansk angriber kollapser under træning,"Linda Caicedo kollapsede under træning, men har det efter sigende fint",,False,
VM fodbold,England vil gøre EM-triumf til VM-triumf,"De engelske europamestre er trods skader til profiler stadig et hold, som regner med, at de kan vinde VM",,False,
VM fodbold,Danmark skal møde overmagten: - Det bliver svært,Der venter Danmark svær modstand i form af europamestrene fra England,,False,
VM fodbold,Norsk stjerne undskylder efter udbrud ved VM,"Caroline Graham Hansen har undskyldt efter at have givet kritisk interview, da hun var i sine følelsers vold",,False,
VM fodbold,Norsk stjerne i opsigtsvækkende interview efter bænkplads,Norge har skuffet i de første to kampe under VM,,True,
VM fodbold,Filippinerne skaber VM-sensation,New Zealand kunne ikke leve op til præstationen mod Norge og tabte meget overraskende til Filippinerne,,True,
VM fodbold,Fra Fårup Sommerland til VM-helt - dansk matchvinder i vild rejse,"For fem år siden lå det ikke i kortene, at Vangsgaard skulle blive Danmarks matchvinder mod Kina. Dengang spillede hun nemlig ikke engang fodbold",,False,
VM fodbold,En epidemi af korsbåndsskader plager kvindefodbold og VM ,"VM-slutrunden spilles uden nogle af fodboldens største stjerne, der sidder ude med korsbåndsskader",,False,
VM fodbold,Danmark vinder VM-åbner efter sen scoring,Kina voldte danskerne problemer i store dele af kampen,,True,
