Category,Headline,SubHeading,Link,isResult,isMaybe
Champions League,Bayern-træner vil forsvare 'chokerende' statistikker mod FC København,"FC Bayern München har allerede sikret sig avancement fra Champions Leagues gruppe A, men det betyder ikke, at storklubben tager let på onsdagens kamp mod FC København.",https://www.dr.dk/sporten/fodbold/championsleague/bayern-traener-vil-forsvare-chokerende-statistikker-mod-fc,False,
Kort sport,Real Madrid-spilleren Caroline Møller roser ny landstræner trods få udtagelser,"Real Madrid-spilleren Caroline Møller har ikke væltet sig i landsholdsudtalelser, siden Andrée Jeglertz overtog som landstræner for det danske fodboldlandshold.",https://www.dr.dk/sporten/seneste-sport/real-madrid-spilleren-caroline-moeller-roser-ny-landstraener-trods-faa,False,
Kvindelandsholdet,Hun hader kondicyklen og er klar til at trække i arbejdstøjet for at genvinde startplads,"Janni Thomsen er udtaget til landsholdet, for første gang siden Andrée Jeglertz overtog jobbet som landstræner.",https://www.dr.dk/sporten/fodbold/kvindelandsholdet/hun-hader-kondicyklen-og-er-klar-til-traekke-i-arbejdstoejet,False,
Kort sport,Dobbelt op på metropriser i Paris under OL,Paris vil skrue prisen op til det dobbelte for at benytte byens metro under næste års OL.,https://www.dr.dk/sporten/seneste-sport/dobbelt-op-paa-metropriser-i-paris-under-ol,False,
Formel 1,Kevin Magnussen skuffer Formel 1-ekspert efter karrierens dårligste sæson,"DR Sporten Formel 1-ekspert Peter Nygaard er heller ikke imponeret af den danske racerkørers hold, Haas. ",https://www.dr.dk/sporten/formel1/kevin-magnussen-skuffer-formel-1-ekspert-efter-karrierens-daarligste-saeson,True,
Kort sport,Dommer udviser 10 ishockeyspillere efter masseslagsmål,"Der herskede en ond stemning, da ishockeyspillerne fra Ottawa Senators og Florida Panthers natten til tirsdag mødtes i verdens bedste ishockeyliga, NHL.",https://www.dr.dk/sporten/seneste-sport/dommer-udviser-10-ishockeyspillere-efter-masseslagsmaal,False,
Kort sport,LeBron James sætter endnu en vild basketball-rekord,Basketballspilleren LeBron James' lange karriere i NBA ramte natten til tirsdag et højdepunkt og et lavpunkt.,https://www.dr.dk/sporten/seneste-sport/lebron-james-saetter-endnu-en-vild-basketball-rekord,False,x
VM håndbold,Med én dag til VM er Danmarks kampe fortsat langt fra at være udsolgt,"Dansk Håndbold forventer, at Danmarks VM-åbningskamp bliver udsolgt, men det halter mere med resten af kampene.",https://www.dr.dk/sporten/haandbold/vm/med-en-dag-til-vm-er-danmarks-kampe-fortsat-langt-fra-vaere-udsolgt,False,
Kort sport,Topscorer undskylder efter 'grim' tackling på FC Midtjylland-målmand,"Superligaens topscorer Alexander Lind forlod banen i tårer, da han mandag aften blev udvist for en sen tackling på FC Midtjyllands målvogter, Martin Fraisl.",https://www.dr.dk/sporten/seneste-sport/topscorer-undskylder-efter-grim-tackling-paa-fc-midtjylland-maalmand,False,
Superliga,Hurtigt comeback til førstepladsen overrasker FC Midtjylland-profil,"Med mandagens sejr på 4-1 over Silkeborg er FC Midtjylland tilbage på en delt førsteplads i Superligaen, hvilket kommer bag på Henrik Dalsgaard. ",https://www.dr.dk/sporten/fodbold/superliga/hurtigt-comeback-til-foerstepladsen-overrasker-fc-midtjylland-profil,True,
