,Category,Headline,SubHeading,isResult,isMaybe
0,Skisport ,'Kongen' sendte uventet signal til sine landsmænd,"Johannes Thingnes Bø er verdens bedste skiskytte. Lørdag havde han tid til at lave et show, man sjældent ser under konkurrencer ",False,
1,ISHOCKEY ,"Se de vanvittige sidste sekunder, der sendte Danmark ud af VM ","Danmark røg ud af VM, da Tyskland i den sidste gruppekamp scorede til 3-2 i det absolut sidste sekund ",True,
2,Tennis ,Godt nyt for Tauson efter uhyggelige billeder,"Clara Tauson har fået en restitutionsplan fra WTA's lægestab, som lige nu forløbet planmæssigt ",False,x
3,Håndbold ,Skadet GOG-profil misser storkamp,Morten Olsen måtte udgå af Champions League-kampen mod Veszprem ,False,
4,FORMEL 1 ,OMGANG FOR OMGANG Magnussen henter point i Singapore ,"Kevin Magnussen starter som nummer seks, når Singapores Formel 1-grandprix løber af stablen søndag ",True,
5,KORT NYT ,Anders Antonsen udgår fra Japan Open med skade ,Anders Antonsen spiller ikke videre ved World Tour-turneringen Japan Open ,False,x
6,EM HÅNDBOLD ,KARAKTERER Seks danskere scorer et 12-tal i historisk sejr over Norge ,Se DR's håndboldeksperts karakterer til de danske spillere - og vær selv med til at bedømme - efter kampen mod Norge ,True,
7,Cykling ,- Det letter sgu en stor del i mit hjerte,26-årige Mathias Norsgaard er glad for at have fået styr på fremtiden ,False,
8,ISHOCKEY ,Andreasen tror på dansk sejr ,Danmarks rutinerede back Andreas Andreasen tror på en dansk overraskelse i aften mod Rusland ,False,
9,SPORT ,AFSTEMNING Hvem skal vinde priserne til Sport 2021? ,"DR Sportens årlige sportsshow bliver sendt fredag klokken 21.30, og i artiklen her kan du se de nominerede til priserne ",False,x
10,Ishockey VM,Kun én spiller viste 'klasse' mod briterne,TV 2 SPORTs ishockeyekspert Morten Green giver karakterer til de danske ishockeyherrer og landstræner Heinz Ehlers efter sejren over Storbritannien,False,
11,SPORT ,Kampsport-præsident har fået nok af alle aflysningerne: Vil afholde kampe på hemmelig ø ,UFC-præsident Dana White har anskaffet en privat ø for at undgå aflysninger på grund af coronavirus ,False,
12,Ishockey VM,Tysk kaptajn i tårer i TV 2-interview - nu går det viralt,TV 2 SPORT-interviewet med den tyske kaptajn Mortitz Müller cirkulerer rundt i de store tyske medier i disse dage,False,
13,FODBOLD ,Olsen forventer skarp VM-slutspurt ,"Inden for en uge har Morten Olsen fundet de 23 spillere, som skal med til VM. Konkurrencen om VM-pladserne spides derfor for alvor til nu ",False,
14,Vinter-OL,To danske OL-spillere ude af isolation,En lang isolationsperiode er slut for to af de danske OL-atleter,False,
15,FODBOLD,FC København smider føring og taber til Bayerns stjerner,"Langt hen ad vejen havde FCK godt styr på Bayern München, men to pletskud gav tyskerne sejren i Parken ",True,
16,Fodbold,Robert Petersen er mere end tilfreds over sin egen præstation,Den unge spiller scorede tre mål for sin nye klub i superligaen,False,
17,Ishockey,Dansk legende overrasket efter vild milepæl,Den danske ishockeyspiller Frans Nielsen blev hyldet af 8000 mennesker i søndagens kamp mod Straubing,False,
18,E-sport ,Ekspert revser Astralis efter exit,"Astralis har mistet sin styrke, lyder konklusionen på torsdagens major-exit fra Jacob 'Pimp' Winneche ",True,
19,Fodbold ,"- Vi havde lidt efterslæb, siger Eriksen","Christian Eriksen synes, Danmark spillede for langsomt i starten af kampen ",False,
20,Ishockey,Ligaklub afblæser konkurs på kort sigt,"Salg af folkeaktier har indbragt 619.000 kroner i Rødovre Mighty Bulls, som dermed er reddet på kort sigt",False,
21,Ishockey,Dansk ishockeyformand taber valg til præsidentpost,"Henrik Bach Nielsen blev ikke valgt som afløser for IIHF's mangeårige præsident, René Fasel",False,
22,Curling ,Curlingkvinderne lever ved VM efter sejr,De seks bedste hold ved verdensmesterskabet går videre til knockoutfasen. Danmark er lige nu på en delt niendeplads ,True,
23,Ishockey,Colorado Avalanche vinder første mesterskab i 21 år,Med en 2-1-sejr over Tampa Bay Lightning har Colorado Avalanche vundet sin første Stanley Cup siden 2001,True,
24,Håndbold ,Ung færing storspiller i CL-brag,Elias Ellefsen á Skipagøtu scorede syv mål og blev dermed delt topscorer i Kiels sejr over Kielce ,True,
25,Ishockey VM,"- Jeg har været meget, meget heldig, siger dansk profil","Både landsholdslægen og Nicholas B. Jensen selv forventer, at det er muligt at blive klar til torsdagens kamp mod Tyskland",False,
26,SPORT ,Blandet dansk start på softball-EM ,"Efter første-dagen af EM i softball, som spilles i Danmark, har hjemmeholdet vundet en kamp og tabt en kamp ",True,
27,KORT SPORT ,Vingegaards chef lukker spekulation om holdets fremtid ,"Jonas Vingegaards hollandske hold, Jumbo-Visma, har været en magtfaktor i cykelsporten de seneste år. Men fremtiden har der været en smule tvivl om ",False,
28,MOTORSPORT ,'Idiot': Dramatisk sammenstød sender danske racerkørere ud af løb og op i det røde felt ,"Nummer fire og fem i den samlede TCR-stilling, Nicolai Sylvest og Michael Markussen, kørte hinanden af banen i lørdagens løb i Padborg ",False,x
29,Skisport ,Lavede sjov i TV 2-konkurrence: - Den holder ikke,"Ukaleq Slettemark kunne ikke holde grinet tilbage, da hun blev spurgt ind til sin deltagelse i TV 2 SPORTs skiskydningskonkurrence ",False,
30,Ishockey VM,"- Hårdt nederlag at sluge, siger VM-dansker","Det afsluttende nederlag til Tjekkiet gør ondt, men de danske spillere ser tilbage på et godt VM",True,
31,Fodbold ,Giroud tvunget på mål i kæmpe drama,Olivier Giroud måtte træde til og indtage AC Milans mål i slutminutterne ,False,
32,ATLETIK,Kæresten fik Simon overtalt - nu kan han kalde sig verdensmester i duatlon ,Danske Simon Jørn Hansen triumferede søndag eftermiddag ved duatlon-stævnet Powerman i Schweiz ,True,
33,BEIJING 2022 ,Danmark taber på sidste sten mod de olympiske vicemestre: 'Den svier lidt lige nu',De danske curlingkvinder tabte onsdag eftermiddag til Sydkorea med 7-8,True,
34,Ishockey,Herning vinder stort drama efter skrækstart,"Esbjerg var foran med 2-0, inden der var gået to minutter, men Herning løb med sejren efter straffeslag",True,
35,Ishockey VM,Dansk profil efterlyser skarphed,"Landsholdets topscorer Niklas Jensen var tilfreds med landsholdets indsats i VM-nederlaget til Slovakiet, men han ærgrer sig over misbrugte chancer",True,
36,Sejlsport ,Danmark misser VM-medaljer i 49erFX,"Jena Mai Hansen og Katja Salskov-Iversen blev nummer fem i 49erFX, hvor hollændere overraskende tog VM-guld.",True,
37,Ishockey VM,Danmark banker VM-modstander,Efter fire mål i tredje periode vandt Danmark 6-2 over Østrig. Nu venter et brag mod Tyskland på torsdag,True,
38,Baseball ,Baseballhold ændrer kritiseret navn - men hvorfor?,"Cleveland Indians er det seneste i rækken af amerikanske sportshold, der går væk fra et kontroversielt navn ",False,
39,Baseball ,Babe Ruth-trøje sætter rekord med salgspris på 37 millioner,"En knap 100 år gammel spillertrøje, der har tilhørt baseballspiller Babe Ruth, er blevet solgt på en auktion ",False,
40,Volleyball ,Brøndby snupper dansk mesterskab,"Der var ganske enkelt klasseforskel, da kvinderne fra Brøndby Volleyball Klub søndag forsvarede DM-guldet fra sidste sæson med sejr i tredje finalekamp mod Lyngby Volley i årets finaleserie",True,
41,Ishockey VM,Schweiz giver Slovakiet en afklapsning,Schweiz vandt topopgøret mod Slovakiet med hele 8-1 efter blandt andet fem scoringer i powerplay,True,
42,KORT SPORT ,Fodboldlandsholdet vinder fair play-pris ,"Herrelandsholdet i fodbold modtager prisen Special World Fair Play Trophy, som bliver uddelt af Den Internationale Fair Play Komité ",False,x
43,Badminton ,Astrups SMS-dagbog: Iskolde pilsnere og et af de bedste bade,Den danske doublespiller Kim Astrup skriver dagligt sammen med TV 2 Sports kommentator Dennis Bostrup under Denmark Open ,False,
44,SPORT,Se vinderputt fra 20 m: Effektfulde Emily er første danske vinder i fire år,"Forspringet skrumpede til ét slag, inden Emily Kristine Pedersen sluttede af med to forrygende huller ",True,
45,FORMEL 1 ,Kevin Magnussen skuffer i canadisk grandprix: 'Generelt var det en ærgerlig dag' ,"Formel 1-danskeren blev nummer 17 i grandprixet, som Max Verstappen fra Red Bull vandt ",True,x
46,KORT SPORT ,Krigen mellem Israel og Hamas udsætter EM-kvalifikationskamp ,Søndagens EM-kvalifikationskamp mellem Israel og Kosovos fodboldlandshold er udsat som følge af krigen mellem førstnævnte og terrororganisationen Hamas ,False,
47,EM HÅNDBOLD ,"Stolt landstræner efter dansk storsejr: 'Jeg er meget, meget glad' ",Jesper Jensen havde mange rosende ord til overs efter Danmarks sejr på 26-17 over Kroatien ved EM i håndbold ,True,
48,Ishockey VM,Dansk stjerne dropper VM,Mikkel Bødker melder afbud til maj måneds VM i Finland for i stedet at prioritere samvær med sin familie,False,
49,SPORT ,Thorkildsen forsvarede guldet ,"Spydkasteren Andreas Thorkildsen sørgede for Norges anden guldmedalje i løbet af få timer, da han forsvarede sin olympiske titel i spydkast ",True,
50,Baseball ,Boston vandt World Series,"For første gang siden 1918 lykkedes det baseballklubben Boston Red Sox at vinde World Series. Holdet blev suveræn vinder af finalen, hvor der spilles bedst af syv kampe, med en sikker samlet 4-0-sejr over St. Louis Cardinals ",True,
51,Skisport ,Olympisk mester stopper med øjeblikkelig virkning,Han har vundet 11 World Cup-løb. Nu stopper den 32-årige østrigske skistjerne karrieren ,False,x
52,Vinter-OL,Dansk harme under OL - læge blev afvist,"Der var efter sigende gået noget galt i kommunikationen, så den danske læge aldrig kom frem",False,
53,Cykling,Belgisk hold trækker ryttere ud efter kinesisk hån,Cykelholdet Intermarche trækker Madis Mihkels og Gerben Thijssen ud af Tour of Guangxi ovenpå hånende video ,False,
54,Baseball ,Tilskuer i livsfare efter uheld ved baseballkamp,"En kvindelig tilskuer måtte hjælpes fra stadion, stærkt blødende, da hun på tilskuerpladserne blev ramt af et stykke fra et flækket baseballbat under en kamp i den amerikanske MLB-liga ",False,
55,Formel 1 ,Magnussen udkonkurreret af Hülkenberg,Den danske Formel 1-kører blev knockoutet i første kvalifikationsrunde til Spaniens Grand Prix ,True,
56,Skisport ,Schweiz tager guld og bronze i kvindernes VM-styrtløb,"Jasmine Flury fra Schweiz var hurtigst i kvindernes styrtløb, mens landsmanden Corinne Suter tog bronze ",True,
57,FIFA VM 2022 ,"Højdespringerne, der har sparket hoveddøren ind ved VM ","Julian Alvarez og Cody Gakpo er to af de fodboldkometer, som ifølge Andreas Kraul har fået deres gennembrud ved VM i Qatar ",False,
58,Skisport ,Nordmand vinder traditionsrigt nytårsskihop,"Halvor Egner Granerud vandt også anden afdeling i Firebakketurnering, da han vandt i Garmisch-Partenkirchen ",True,
59,OL PARIS 2024 ,Ny dopingtest-metode skal måske afprøves ved OL: 'Vi kan teste langt flere end hidtil' ,Et lille prik og et par bloddråber i fingeren er både mere skånsomt og effektivt for atleterne ,False,
60,Vinter-OL,Dansk målsluger forstærker landsholdet ved OL,Nicklas Jensen har afleveret de påkrævede negative coronatest og ankommer til Beijing torsdag,False,
61,MMA ,Mark O. Madsen får ny modstander,5. november står MMA-kæmperen Mark O. Madsen over for amerikaneren Grant Dawson i UFC ,False,
62,Ishockey VM,Kastede sig frygtløst ned i skud: - Nåede ikke at tænke så meget,Ishockeyekspert Morten Green roste under kampen mod Rusland Nichlas Hardt for hans vilje til at ofre sig for holdet,False,
63,Atletik ,Rekordholder anklages for brud på dopingregler,"Tobi Amusan, verdensrekordholderen i 100-meter hækkeløb, anklages for regelbrud efter at have misset test",False,
64,KORT SPORT ,Danske rostjerner er tilbage fra pause og jagter OL-guld ,For et år siden vandt de danske roere Joachim Sutton og Frederic Vystavel OL-bronze i toer uden styrmand ved legene i Tokyo ,False,x
65,Atletik,Svensk atletikstjerne løber med prestigefyldt pris ,Den svenske løber Armand Duplantis vandt mandag prisen som årets bedste løber i norden,False,
66,FODBOLD ,Værter for fodbold-EM på plads frem til 2032,"Storbritannien og Irland bliver værter for fodbold-EM i 2028, mens Italien og Tyrkiet deler værtskabet i 2032 ",False,
