Afghanistan,,afghansk,,pashto og dari,afghaner
Albanien,,albansk,,albansk,albaner
Algeriet,,algerisk,,arabisk og fransk,algerier
Andorra,,andorransk,,catalansk,andorraner
Angola,,angolansk,,portugisisk,angolaner
Antigua og Barbuda,,,,engelsk,
Argentina,,argentinsk,,spansk,argentiner
Armenien,,armensk,,armensk,armenier
Aserbajdsjan,,aserbajdsjansk,,aserbajdsjansk,aserbajdsjaner
Australien,,australsk,,engelsk,australier
Bahamas,,bahamansk,,engelsk,bahamaner
Bahrain,,bahrainsk,,arabisk,bahrainer
Bangladesh,Indtil 1971: Østpakistan,bangladeshisk,,bengali,bangladesher
Barbados,,barbadisk,,engelsk,barbadier
Belgien,,belgisk,,"flamsk, fransk og tysk",belgier
Belize,,belizisk,,engelsk,belizer
Benin,,beninsk,,fransk,beniner
Bermuda,,,,engelsk,
Bhutan,,bhutanske,,dzongkha,bhutaner
Bolivia,,boliviansk,,spansk og quechua,bolivianer
Bosnien og Hercegovina,,bosnisk,,"bosnisk, kroatisk og serbokroatisk",bosnier
Botswana,,botswansk,,,botswaner
Brasilien,,brasiliansk,,portugisisk,brasilianer
Brunei,,bruneisk,,,bruneier
Bulgarien,,bulgarsk,,,bulgarer
Burkina Faso,Indtil den 4. august 1984: Øvre Volta.,burkinsk,,,burkiner
Burma,,burmesisk (el. burmansk),,,burmeser (el. burmaner)
Burundi,,burundisk,,,burundier
Cambodja,,cambodjansk,,,cambodjaner
Cameroun,,camerounsk,,,camerouner
Canada,,canadisk,,engelsk og fransk,canadier
Centralafrikanske Republik,,centralafrikansk,,,
Chile,,chilensk,,spansk,chilener
Colombia,,colombiansk,,spansk,colombianer
Comorerne,,comorisk,,,comorer
Republikken Congo,Også: Congo Brazzaville,(Brazzaville-) congolesisk,,,(Brazzaville-) congoleser
Den Demokratiske Republik Congo,"DR Congo, tidligere Zaire",(Kinshasa-) congolesisk,,,(Kinshasa-) congoleser
Costa Rica,,costaricansk,,spansk,costaricaner
Cuba,,cubansk,,,cubaner
Cypern,,cypriotisk,,,cypriot
Danmark,Kongeriget Danmark,dansk,,dansk,dansker
Djibouti,,djiboutisk,,,djiboutier
Dominica,,dominicansk,,,dominicaner
Dominikanske Republik,,dominikansk,,,dominikaner
Ecuador,,ecuadoriansk,,spansk og quechua,ecuadorianer
Egypten,Også: Ægypten,egyptisk (el. ægyptisk),,arabisk,egypter (el. ægypter)
El Salvador,,salvadoransk,,spansk,salvadoraner
Elfenbenskysten,,ivoriansk,,,ivorianer
Eritrea,,eritreisk,,,eritreer
Estland,,estisk,,,ester
Etiopien,,etiopisk,,,etioper
Fiji,,fijiansk,,,fijianer
Filippinerne,,filippinsk,,filippinsk og engelsk,filippiner
Finland,,finsk,,finsk og svensk,finne
Forenede Arabiske Emirater,Også: UAE,emiratisk,,arabisk,emirat
Frankrig,,fransk,,fransk,franskmand
Færøerne,,færøsk,,færøsk og dansk,færing
Gabon,,gabonesisk,,,gaboneser
Gambia,,gambiansk,,,gambianer
Georgien,,georgiansk,,,georgier
Ghana,,ghanesisk,,,ghaneser
Grenada,,grenadisk,,,grenadier
Grækenland,,græsk,,nygræsk,græker
Grønland,,grønlandsk,,kalaallisut / grønlandsk og dansk,grønlænder
Guatemala,,guatemalansk,,spansk,guatemalaner
Guinea,,guineansk,,,guineaner
Guinea-Bissau,,,,,
Guyana,Britisk Guyana hed det tidligere,guyansk,,engelsk,guyaner
Fransk Guiana,,,,,
Haiti,,haitiansk,,,haitianer
Holland,Nederland eller Nederlandene eller * Kongeriget Nederlandene,hollandsk,nederlandsk,hollandsk / nederlandsk,hollænder / nederlænder
Honduras,,honduransk,,spansk,honduraner
Hviderusland,Også: Belarus.,hviderussisk,,,hviderusser
Indien,,indisk,,,inder
Indonesien,,indonesisk,,,indoneser
Irak,tidligere Mesopotamien,irakisk,,arabisk og kurdisk,iraker
Iran,Persien hed det tidligere,iransk,,farsi,iraner
Irland,,irsk,,gælisk,irer
Island,,islandsk,,oldnordisk,islænding
Israel,,israelsk,,hebraisk (el. hebræisk),israeler
Italien,,italiensk,,italiensk,italiener
Jamaica,,jamaicansk,,,jamaicaner
Japan,,japansk,,japansk,japaner
Jordan,,jordansk,,arabisk,jordaner
Kap Verde,,kapverdisk,,,kapverder
Kasakhstan,,kasakhisk,,,kasakher
Kenya,,kenyansk,,,kenyaner
Kina,Folkerepublikken Kina,kinesisk,,"mandarin, kantonesisk",kineser
Kirgisistan,,kirgisisk,,,kirgiser
Kiribati,,kiribatisk,,,kiribatier
Kroatien,,kroatisk,,?tokavisk,kroat (el. kroater)
Kuwait,,kuwaitisk,,arabisk,kuwaiter
Laos,,laotisk,,,laot
Lesotho,,lesothisk,,,lesother
Letland,,lettisk,,,lette
Libanon,,libanesisk,,arabisk,libaneser
Liberia,,liberiansk,,,liberianer
Libyen,,libysk,,arabisk,libyer
Liechtenstein,,liechtensteinsk,,tysk,liechtensteiner
Litauen,,litauisk,,,litauer
Luxembourg,,luxembourgsk,,"fransk, tysk og lëtzebuergesch",luxembourger
Madagaskar,,madagaskisk,,"alagasy, fransk, hova",madagasker
Makedonien,Den Tidligere Jugoslaviske Republik Makedonien,makedonsk (el. makedonisk),,makedonsk,makedonier (el. makedoner)
Malawi,,malawisk,,,malawier
Malaysia,,malaysisk,,,malaysier
Maldiverne,,maldivisk,,,maldiver
Mali,,malisk,,,malier
Malta,,maltesisk,,,malteser
Marokko,,marokkansk,,"arabisk, berbersprog, fransk og spansk",marokkaner
Marshall-øerne,Også: Marshalløerne.,,,,
Mauretanien,,mauretansk,,"arabisk, fransk",mauretanier
Mauritius,,mauritisk,,"engelsk, fransk og kreolsk",mauritier
Mexico,,mexicansk,,spansk,mexicaner
Mikronesien,"Mikronesiens Forenede Stater, Føderale statsforbund Mikronesien",mikronesisk,,,mikroneser
Moldova,,moldivisk,,,moldover
Monaco,,monegasker,,fransk,monegaskisk
Mongoliet,,mongolsk,,,mongol
