afghansk,afghaner
albansk,albaner
algerisk,algerier
amerikansk, amerikaner
andorransk,andorraner
angolansk,angolaner
argentinsk,argentiner
armensk,armenier
aserbajdsjansk,aserbajdsjaner
australsk,australier
bahamansk,bahamaner
bahrainsk,bahrainer
bangladeshisk,bangladesher
barbadisk,barbadier
belgisk,belgier
belizisk,belizer
beninsk,beniner
bhutanske,bhutaner
boliviansk,bolivianer
bosnisk,bosnier
botswansk,botswaner
brasiliansk,brasilianer
bruneisk,bruneier
bulgarsk,bulgarer
burkinsk,burkiner
burmesisk,burmeser
burmansk,burmaner
burundisk,burundier
cambodjansk,cambodjaner
camerounsk,camerouner
canadisk,canadier
centralafrikansk,chilener
chilensk,colombianer
colombiansk,comorer
comorisk,(Brazzaville-) congoleser
(Brazzaville-) congolesisk,(Kinshasa-) congoleser
(Kinshasa-) congolesisk,costaricaner
costaricansk,cubaner
cubansk,cypriot
cypriotisk,dansker
dansk,djiboutier
djiboutisk,dominicaner
dominicansk,dominikaner
dominikansk,ecuadorianer
ecuadoriansk,egypter (el. �gypter)
egyptisk (el. �gyptisk),salvadoraner
engelsk,engl�nder
salvadoransk,ivorianer
ivoriansk,eritreer
eritreisk,ester
estisk,etioper
etiopisk,fijianer
fijiansk,filippiner
filippinsk,finne
finsk,emirat
emiratisk,franskmand
fransk,f�ring
f�r�sk,gaboneser
gabonesisk,gambianer
gambiansk,georgier
georgiansk,ghaneser
ghanesisk,grenadier
grenadisk,gr�ker
gr�sk,gr�nl�nder
gr�nlandsk,guatemalaner
guatemalansk,guineaner
guineansk,guyaner
guyansk,haitianer
haitiansk,holl�nder
haitiansk,nederl�nder
hollandsk,honduraner
honduransk,hviderusser
hviderussisk,inder
indisk,indoneser
indonesisk,iraker
irakisk,iraner
iransk,irer
irsk,isl�nding
islandsk,israeler
israelsk,italiener
italiensk,jamaicaner
jamaicansk,japaner
japansk,jordaner
jordansk,kapverder
kapverdisk,kasakher
kasakhisk,kenyaner
kenyansk,kineser
kinesisk,kirgiser
kirgisisk,kiribatier
kiribatisk,kroat
kiribatisk,kroater
kroatisk,kuwaiter
kuwaitisk,laot
laotisk,lesother
lesothisk
lettisk,libaneser
libanesisk,liberianer
liberiansk,libyer
libysk,liechtensteiner
liechtensteinsk,litauer
litauisk,luxembourger
luxembourgsk,madagasker
madagaskisk,makedonier
madagaskisk,makedoner
makedonsk,makedonisk
makedonsk,malawier
malawisk,malaysier
malaysisk,maldiver
maldivisk,malier
malisk,malteser
maltesisk,marokkaner
marokkansk,mauretanier
mauretansk,mauritier
mauritisk,mexicaner
mexicansk,mikroneser
mikronesisk,moldover
moldivisk,monegaskisk
monegasker,mongol
mongolsk,montenegriner
montenegrinsk,mozambiquer
mozambiquisk,myanmarer
myanmarsk,namibier
namibisk,nauruer
naurisk,nepaleser
nepalesisk,newzeal�nder
newzealandsk,nicaraguaner
nicaraguansk,nigerer
nigersk,nigerianer
nigeriansk,nordkoreaner
nordkoreansk,nordmand
norsk,omaner
omansk,pakistaner
pakistansk,pal�stinenser
pal�stinensisk,panamaner
panamansk,papuaner
papuansk,paraguayaner (el. paraguayer)
paraguayansk (el. paraguaysk),peruvianer (el. peruaner)
peruviansk (el. peruansk),polak
polsk,portugiser
portugisisk,puertoricaner
puertoricansk,qatarer
qatarsk,rum�ner
rum�nsk,russer
russisk,rwander
rwandisk,samoaner
salomonisk,sanmarineser
samoansk,saudiaraber
sanmarinesisk,schweizer
saudiarabisk,senegaleser
schweizisk,serber
senegalesisk,seycheller
serbisk,sierraleoner
seychellisk,singaporeaner
sierraleonsk,slovak
singaporeansk,slovener
slovakisk,somalier
slovensk,spanier
slovensk,spaniol
somalisk,srilankaner tidl. ceyloneser
spansk,brite
srilankansk,sudaner
srilankansk,sudaneser
britisk,surinamer
sudansk, sudaner
surinamsk,swazil�nder
svensk, scensker
sydafrikansk, sydafrikaner
swazilandsk,sydkoreaner
sydafrikansk,syrer
sydkoreansk,tadsjiker
syrisk,taiwaner
tadsjikisk,tanzanier
taiwansk,tchader
tanzaniansk,thail�nder
tchadiske,tjekke
thailandsk,tjetjener
tjekkisk,togoleser
tjetjensk,tonganer
togolesisk,trinidader
tongansk,tuneser
tunesisk,turkmener
turkmensk,tuvaluaner
tuvaluansk,tyrk
tuvaluansk,tyrker
tyrkisk,tysker
tysk,ugander
ugandisk,ukrainer
ukrainsk,ungarer
ungarsk,uruguayaner
uruguayansk, uruguayer
usbekisk,vanuatuer
vanuatisk,venezuelaner
vatikansk,vietnameser
venezuelansk,yemenit
vietnamesisk,zambier
yemenitisk,zimbabwer
zambisk,�kvatorialguineaner
zimbabwisk,�striger
�kvatorialguineansk,
�strigsk,
