Category,Headline,SubHeading,Link,isResult,isMaybe
EM HÅNDBOLD ,Skuffelsen fylder hos de danske profiler efter finalenederlag: 'Det gør ondt' ,Danmarks landstræner Jesper Jensen er skuffet efter nederlaget på 25-27 til Norge i EM-finalen ,https://www.dr.dk/sporten/haandbold/em/skuffelsen-fylder-hos-danmarks-haandboldkvinder-efter-finalekollaps,True,
EM HÅNDBOLD ,"KARAKTERER Én spiller lyste op, da de danske håndboldkvinder gik i stå mod Norge ",Se karaktererne til de danske kvinder efter EM-finalen mod Norge - og vær selv med til at bedømme deres præstationer ,https://www.dr.dk/sporten/haandbold/em/karakterer-danmark-tabte-em-finalen-til-norge-en-spiller-lyste-op,True,x
EM HÅNDBOLD ,Danmark må nøjes med EM-sølv efter nederlag til Norges håndboldkvinder ,Danmarks håndboldlandshold taber til Norge med 25-27 i EM-finalen ,https://www.dr.dk/nyheder/indland/danmark-maa-noejes-med-em-soelv-efter-nederlag-til-norges-haandboldkvinder,True,
EM HÅNDBOLD ,KARAKTERER Her er Danmarks bedste spiller under EM-slutrunden ,DR Sporten har samlet eksperternes karakterer fra alle Danmarks kampe ,https://www.dr.dk/sporten/haandbold/em/karakterer-her-er-danmarks-bedste-spiller-under-em-slutrunden,False,
EM HÅNDBOLD ,MÅL FOR MÅL Trods store finale blev det blot til EM-sølv mod Norge ,x,https://www.dr.dk/sporten/haandbold/em/live-kun-norge-staar-mellem-danmark-og-det-foerste-em-guld-i-20-aar,True,
EM HÅNDBOLD ,EM-nederlag nager stadig verdensmestrene: 'Gør ekstra ondt mod Danmark' ,Katrine Lunde og Henny Reistad er endnu ikke kommet sig helt over EM-nederlaget til Danmark ,https://www.dr.dk/sporten/haandbold/em/em-nederlag-nager-stadig-verdensmestrene-goer-ekstra-ondt-mod-danmark,True,
EM HÅNDBOLD ,"Selvom Danmark ikke har tryllet sig i EM-finalen, kan det godt blive en magisk aften ",Danmark kan søndag vinde EM-guld ved at slå Norge i finalen. Det ville i så fald være håndboldkvindernes første titel siden 2004 ,https://www.dr.dk/sporten/haandbold/em/selvom-danmark-ikke-har-tryllet-sig-i-em-finalen-kan-det-godt-blive-en-magisk,False,
EM HÅNDBOLD ,Er Danmark lillesøster eller tvillingesøster? Norske eksperter er uenige før finalen ,"Danmarks håndboldlandshold er kommet tættere på Norge, end de har været i mange år, lyder det fra norske eksperter ",https://www.dr.dk/sporten/haandbold/em/er-danmark-lillesoester-eller-tvillingesoester-norske-eksperter-er-uenige-foer,False,
EM HÅNDBOLD ,"Hvornår var det nu, det var? De danske håndboldkvinder husker ikke Danmarks seneste finale ",Sidste det danske håndboldlandshold for kvinder spillede finale var i 2004 ,https://www.dr.dk/sporten/haandbold/em/hvornaar-var-det-nu-det-var-de-danske-haandboldkvinder-husker-ikke-danmarks,False,
EM HÅNDBOLD ,"KARAKTERER Særligt én dansker imponerer i semifinale-sejr: 'Hun spiller så godt, at hun kunne sprænge skalaen' ",Se DR's håndboldeksperts karakterer til de danske spillere - og vær selv med til at bedømme - efter kampen mod Montenegro ,https://www.dr.dk/sporten/haandbold/em/karakterer-fire-danskere-scorer-12-taller-i-dansk-semifinale-sejr-over,True,x
